city,date,rate,district
Port Blair,2012-04-01,58.06,Andaman and Nicobar Islands
Port Blair,2012-05-24,65.56,Andaman and Nicobar Islands
Port Blair,2012-06-03,63.56,Andaman and Nicobar Islands
Port Blair,2012-06-29,62.88,Andaman and Nicobar Islands
Port Blair,2012-10-09,60.45,Andaman and Nicobar Islands
Port Blair,2012-10-27,60.74,Andaman and Nicobar Islands
Port Blair,2012-11-16,59.75,Andaman and Nicobar Islands
Port Blair,2013-01-18,59.49,Andaman and Nicobar Islands
Port Blair,2013-02-16,61.18,Andaman and Nicobar Islands
Port Blair,2013-03-02,62.65,Andaman and Nicobar Islands
Port Blair,2013-03-16,60.55,Andaman and Nicobar Islands
Port Blair,2013-04-02,59.66,Andaman and Nicobar Islands
Port Blair,2013-04-16,58.61,Andaman and Nicobar Islands
Port Blair,2013-05-01,55.99,Andaman and Nicobar Islands
Port Blair,2013-06-01,56.78,Andaman and Nicobar Islands
Port Blair,2013-06-16,58.88,Andaman and Nicobar Islands
Port Blair,2013-06-29,60.79,Andaman and Nicobar Islands
Port Blair,2013-07-15,62.41,Andaman and Nicobar Islands
Port Blair,2013-08-01,63.14,Andaman and Nicobar Islands
Port Blair,2013-09-01,65.61,Andaman and Nicobar Islands
Port Blair,2013-09-14,67.32,Andaman and Nicobar Islands
Port Blair,2013-10-01,64.12,Andaman and Nicobar Islands
Port Blair,2013-11-01,62.91,Andaman and Nicobar Islands
Port Blair,2013-12-21,63.34,Andaman and Nicobar Islands
Port Blair,2014-01-04,64.14,Andaman and Nicobar Islands
Port Blair,2014-03-01,64.78,Andaman and Nicobar Islands
Port Blair,2014-04-01,63.11,Andaman and Nicobar Islands
Port Blair,2014-04-16,63.25,Andaman and Nicobar Islands
Port Blair,2014-06-07,63.63,Andaman and Nicobar Islands
Port Blair,2014-06-25,63.68,Andaman and Nicobar Islands
Port Blair,2014-07-01,65.47,Andaman and Nicobar Islands
Port Blair,2014-08-01,64.52,Andaman and Nicobar Islands
Port Blair,2014-08-15,62.61,Andaman and Nicobar Islands
Port Blair,2014-08-31,61.02,Andaman and Nicobar Islands
Port Blair,2014-10-01,60.46,Andaman and Nicobar Islands
Port Blair,2014-10-15,59.4,Andaman and Nicobar Islands
Port Blair,2014-11-01,57.27,Andaman and Nicobar Islands
Port Blair,2014-12-01,56.48,Andaman and Nicobar Islands
Port Blair,2014-12-16,54.73,Andaman and Nicobar Islands
Port Blair,2015-01-17,52.61,Andaman and Nicobar Islands
Port Blair,2015-02-04,50.57,Andaman and Nicobar Islands
Port Blair,2015-02-16,51.44,Andaman and Nicobar Islands
Port Blair,2015-03-01,54.12,Andaman and Nicobar Islands
Port Blair,2015-04-02,53.64,Andaman and Nicobar Islands
Port Blair,2015-04-15,52.94,Andaman and Nicobar Islands
Port Blair,2015-05-01,56.4,Andaman and Nicobar Islands
Port Blair,2015-05-16,59.13,Andaman and Nicobar Islands
Port Blair,2015-06-16,59.74,Andaman and Nicobar Islands
Port Blair,2015-07-01,59.41,Andaman and Nicobar Islands
Port Blair,2015-07-15,57.31,Andaman and Nicobar Islands
Port Blair,2015-08-01,55.32,Andaman and Nicobar Islands
Port Blair,2015-08-15,54.26,Andaman and Nicobar Islands
Port Blair,2015-09-01,52.69,Andaman and Nicobar Islands
Port Blair,2015-11-01,52.27,Andaman and Nicobar Islands
Port Blair,2015-11-16,52.62,Andaman and Nicobar Islands
Port Blair,2015-12-01,52.39,Andaman and Nicobar Islands
Port Blair,2015-12-16,51.97,Andaman and Nicobar Islands
Port Blair,2016-01-01,51.28,Andaman and Nicobar Islands
Port Blair,2016-02-01,51.25,Andaman and Nicobar Islands
Port Blair,2016-02-17,50.99,Andaman and Nicobar Islands
Port Blair,2016-03-09,48.6,Andaman and Nicobar Islands
Port Blair,2016-03-17,51.14,Andaman and Nicobar Islands
Port Blair,2016-04-05,53.39,Andaman and Nicobar Islands
Port Blair,2016-04-16,52.78,Andaman and Nicobar Islands
Port Blair,2016-05-01,53.65,Andaman and Nicobar Islands
Port Blair,2016-05-17,54.39,Andaman and Nicobar Islands
Port Blair,2016-06-01,56.52,Andaman and Nicobar Islands
Port Blair,2016-06-15,56.56,Andaman and Nicobar Islands
Port Blair,2016-10-05,56.23,Andaman and Nicobar Islands
Port Blair,2016-11-06,58.51,Andaman and Nicobar Islands
Port Blair,2016-11-16,57.18,Andaman and Nicobar Islands
Port Blair,2017-04-16,58.86,Andaman and Nicobar Islands
Port Blair,2017-06-20,55.79,Andaman and Nicobar Islands
Port Blair,2017-06-22,55.71,Andaman and Nicobar Islands
Port Blair,2017-06-23,55.54,Andaman and Nicobar Islands
Port Blair,2017-06-27,54.94,Andaman and Nicobar Islands
Port Blair,2017-07-04,54.56,Andaman and Nicobar Islands
Port Blair,2017-07-06,54.65,Andaman and Nicobar Islands
Port Blair,2017-07-07,54.77,Andaman and Nicobar Islands
Port Blair,2017-07-11,55.26,Andaman and Nicobar Islands
Port Blair,2017-07-13,55.25,Andaman and Nicobar Islands
Port Blair,2017-07-14,55.23,Andaman and Nicobar Islands
Port Blair,2017-07-18,55.5,Andaman and Nicobar Islands
Port Blair,2017-07-20,55.53,Andaman and Nicobar Islands
Port Blair,2017-07-21,55.55,Andaman and Nicobar Islands
Port Blair,2017-07-25,55.8,Andaman and Nicobar Islands
Port Blair,2017-07-27,55.81,Andaman and Nicobar Islands
Port Blair,2017-07-28,55.9,Andaman and Nicobar Islands
Port Blair,2017-07-31,56.37,Andaman and Nicobar Islands
Port Blair,2017-08-02,56.51,Andaman and Nicobar Islands
Port Blair,2017-08-04,56.95,Andaman and Nicobar Islands
Port Blair,2017-08-08,57.58,Andaman and Nicobar Islands
Port Blair,2017-08-09,57.63,Andaman and Nicobar Islands
Port Blair,2017-08-10,57.75,Andaman and Nicobar Islands
Port Blair,2017-08-11,58.01,Andaman and Nicobar Islands
Port Blair,2017-08-16,58.73,Andaman and Nicobar Islands
Port Blair,2017-08-17,58.82,Andaman and Nicobar Islands
Port Blair,2017-08-18,58.86,Andaman and Nicobar Islands
Port Blair,2017-08-22,59.17,Andaman and Nicobar Islands
Port Blair,2017-08-23,59.23,Andaman and Nicobar Islands
Port Blair,2017-08-24,59.35,Andaman and Nicobar Islands
Port Blair,2017-08-29,59.55,Andaman and Nicobar Islands
Port Blair,2017-08-31,59.58,Andaman and Nicobar Islands
Port Blair,2017-09-01,59.67,Andaman and Nicobar Islands
Port Blair,2017-09-05,60.23,Andaman and Nicobar Islands
Port Blair,2017-09-07,60.31,Andaman and Nicobar Islands
Port Blair,2017-09-08,60.38,Andaman and Nicobar Islands
Port Blair,2017-09-12,60.79,Andaman and Nicobar Islands
Port Blair,2017-09-14,60.8,Andaman and Nicobar Islands
Port Blair,2017-09-15,60.84,Andaman and Nicobar Islands
Port Blair,2017-09-20,60.91,Andaman and Nicobar Islands
Port Blair,2017-09-22,60.87,Andaman and Nicobar Islands
Port Blair,2017-09-26,60.82,Andaman and Nicobar Islands
Port Blair,2017-09-28,60.86,Andaman and Nicobar Islands
Port Blair,2017-09-29,60.94,Andaman and Nicobar Islands
Port Blair,2017-10-04,59.13,Andaman and Nicobar Islands
Port Blair,2017-10-06,59.11,Andaman and Nicobar Islands
Port Blair,2017-10-10,59.19,Andaman and Nicobar Islands
Port Blair,2017-10-11,59.21,Andaman and Nicobar Islands
Port Blair,2017-10-13,59.17,Andaman and Nicobar Islands
Port Blair,2017-10-18,59.03,Andaman and Nicobar Islands
Port Blair,2017-10-25,59.33,Andaman and Nicobar Islands
Port Blair,2017-10-26,59.35,Andaman and Nicobar Islands
Port Blair,2017-10-31,59.75,Andaman and Nicobar Islands
Port Blair,2017-11-01,59.76,Andaman and Nicobar Islands
Port Blair,2017-11-02,59.85,Andaman and Nicobar Islands
Port Blair,2017-11-03,59.93,Andaman and Nicobar Islands
Port Blair,2017-11-07,60.31,Andaman and Nicobar Islands
Port Blair,2017-11-09,60.35,Andaman and Nicobar Islands
Port Blair,2017-11-14,60.25,Andaman and Nicobar Islands
Port Blair,2017-11-15,60.21,Andaman and Nicobar Islands
Port Blair,2017-11-16,60.19,Andaman and Nicobar Islands
Port Blair,2017-11-17,60.15,Andaman and Nicobar Islands
Port Blair,2017-11-21,60.09,Andaman and Nicobar Islands
Port Blair,2017-11-22,60.04,Andaman and Nicobar Islands
Port Blair,2017-11-23,60.0,Andaman and Nicobar Islands
Port Blair,2017-11-24,59.99,Andaman and Nicobar Islands
Port Blair,2017-11-28,59.86,Andaman and Nicobar Islands
Port Blair,2017-11-30,59.84,Andaman and Nicobar Islands
Port Blair,2017-12-01,59.83,Andaman and Nicobar Islands
Port Blair,2017-12-06,59.84,Andaman and Nicobar Islands
Port Blair,2017-12-08,59.8,Andaman and Nicobar Islands
Port Blair,2017-12-12,59.72,Andaman and Nicobar Islands
Port Blair,2017-12-13,59.7,Andaman and Nicobar Islands
Port Blair,2017-12-15,59.73,Andaman and Nicobar Islands
Port Blair,2017-12-21,59.99,Andaman and Nicobar Islands
Port Blair,2017-12-22,60.06,Andaman and Nicobar Islands
Port Blair,2017-12-27,60.24,Andaman and Nicobar Islands
Port Blair,2017-12-28,60.32,Andaman and Nicobar Islands
Port Blair,2017-12-29,60.39,Andaman and Nicobar Islands
Port Blair,2018-01-02,60.51,Andaman and Nicobar Islands
Port Blair,2018-02-01,63.07,Andaman and Nicobar Islands
Port Blair,2018-02-02,63.11,Andaman and Nicobar Islands
Port Blair,2018-02-05,63.29,Andaman and Nicobar Islands
Port Blair,2018-02-06,63.35,Andaman and Nicobar Islands
Port Blair,2018-02-08,63.34,Andaman and Nicobar Islands
Port Blair,2018-02-09,63.32,Andaman and Nicobar Islands
Port Blair,2018-02-12,63.04,Andaman and Nicobar Islands
Port Blair,2018-02-13,62.98,Andaman and Nicobar Islands
Port Blair,2018-02-15,62.86,Andaman and Nicobar Islands
Port Blair,2018-02-16,62.63,Andaman and Nicobar Islands
Port Blair,2018-02-19,62.13,Andaman and Nicobar Islands
Port Blair,2018-02-20,61.97,Andaman and Nicobar Islands
Port Blair,2018-02-21,61.96,Andaman and Nicobar Islands
Port Blair,2018-02-22,61.95,Andaman and Nicobar Islands
Port Blair,2018-02-23,61.87,Andaman and Nicobar Islands
Port Blair,2018-02-26,61.81,Andaman and Nicobar Islands
Port Blair,2018-02-27,61.79,Andaman and Nicobar Islands
Port Blair,2018-03-01,61.84,Andaman and Nicobar Islands
Port Blair,2018-03-05,62.46,Andaman and Nicobar Islands
Port Blair,2018-03-06,62.52,Andaman and Nicobar Islands
Port Blair,2018-03-09,62.56,Andaman and Nicobar Islands
Port Blair,2018-03-12,62.57,Andaman and Nicobar Islands
Port Blair,2018-03-13,62.59,Andaman and Nicobar Islands
Port Blair,2018-03-15,62.57,Andaman and Nicobar Islands
Port Blair,2018-03-16,62.51,Andaman and Nicobar Islands
Port Blair,2018-03-19,62.36,Andaman and Nicobar Islands
Port Blair,2018-03-22,62.41,Andaman and Nicobar Islands
Port Blair,2018-03-23,62.45,Andaman and Nicobar Islands
Port Blair,2018-03-26,62.86,Andaman and Nicobar Islands
Port Blair,2018-03-27,62.95,Andaman and Nicobar Islands
Port Blair,2018-03-29,63.1,Andaman and Nicobar Islands
Port Blair,2018-04-02,63.72,Andaman and Nicobar Islands
Port Blair,2018-04-03,63.82,Andaman and Nicobar Islands
Port Blair,2018-04-05,63.85,Andaman and Nicobar Islands
Port Blair,2018-04-09,63.86,Andaman and Nicobar Islands
Port Blair,2018-04-10,63.85,Andaman and Nicobar Islands
Port Blair,2018-04-12,63.81,Andaman and Nicobar Islands
Port Blair,2018-04-13,63.79,Andaman and Nicobar Islands
Port Blair,2018-04-16,63.88,Andaman and Nicobar Islands
Port Blair,2018-04-19,63.92,Andaman and Nicobar Islands
Port Blair,2018-04-20,63.93,Andaman and Nicobar Islands
Port Blair,2018-04-23,64.28,Andaman and Nicobar Islands
Port Blair,2018-04-24,64.39,Andaman and Nicobar Islands
Port Blair,2018-05-15,64.66,Andaman and Nicobar Islands
Port Blair,2018-05-16,64.78,Andaman and Nicobar Islands
Port Blair,2018-05-17,64.96,Andaman and Nicobar Islands
Port Blair,2018-05-18,65.21,Andaman and Nicobar Islands
Port Blair,2018-05-21,66.01,Andaman and Nicobar Islands
Port Blair,2018-05-22,66.26,Andaman and Nicobar Islands
Port Blair,2018-05-23,66.51,Andaman and Nicobar Islands
Port Blair,2018-05-24,66.76,Andaman and Nicobar Islands
Port Blair,2018-05-25,67.06,Andaman and Nicobar Islands
Port Blair,2018-05-26,67.17,Andaman and Nicobar Islands
Port Blair,2018-05-27,67.3,Andaman and Nicobar Islands
Port Blair,2018-05-28,67.42,Andaman and Nicobar Islands
Port Blair,2018-05-29,67.55,Andaman and Nicobar Islands
Port Blair,2018-05-31,67.49,Andaman and Nicobar Islands
Port Blair,2018-06-01,67.44,Andaman and Nicobar Islands
Port Blair,2018-06-02,67.36,Andaman and Nicobar Islands
Port Blair,2018-06-03,67.29,Andaman and Nicobar Islands
Port Blair,2018-06-04,67.16,Andaman and Nicobar Islands
