city,date,rate,district
Anantapur,2016-04-16,66.62,Andhra Pradesh
Anantapur,2016-05-01,67.71,Andhra Pradesh
Anantapur,2016-05-17,68.56,Andhra Pradesh
Anantapur,2016-06-01,71.22,Andhra Pradesh
Anantapur,2016-06-15,71.32,Andhra Pradesh
Anantapur,2016-07-01,70.39,Andhra Pradesh
Anantapur,2016-07-15,68.07,Andhra Pradesh
Anantapur,2016-08-01,66.64,Andhra Pradesh
Anantapur,2016-08-15,65.67,Andhra Pradesh
Anantapur,2016-09-01,69.14,Andhra Pradesh
Anantapur,2016-09-15,69.93,Andhra Pradesh
Anantapur,2016-10-01,70.31,Andhra Pradesh
Anantapur,2016-10-05,70.43,Andhra Pradesh
Anantapur,2016-10-15,72.21,Andhra Pradesh
Anantapur,2016-11-06,73.52,Andhra Pradesh
Anantapur,2016-11-16,71.73,Andhra Pradesh
Anantapur,2016-12-01,71.91,Andhra Pradesh
Anantapur,2016-12-17,74.84,Andhra Pradesh
Anantapur,2017-01-01,76.55,Andhra Pradesh
Anantapur,2017-01-16,77.1,Andhra Pradesh
Anantapur,2017-04-01,72.68,Andhra Pradesh
Anantapur,2017-04-16,74.51,Andhra Pradesh
Anantapur,2017-05-01,74.52,Andhra Pradesh
Anantapur,2017-05-16,71.7,Andhra Pradesh
Anantapur,2017-06-01,73.33,Andhra Pradesh
Anantapur,2017-06-16,71.56,Andhra Pradesh
Anantapur,2017-06-19,70.7,Andhra Pradesh
Anantapur,2017-06-21,70.6,Andhra Pradesh
Anantapur,2017-06-26,69.57,Andhra Pradesh
Anantapur,2017-06-30,69.32,Andhra Pradesh
Anantapur,2017-07-03,69.13,Andhra Pradesh
Anantapur,2017-07-10,69.85,Andhra Pradesh
Anantapur,2017-07-13,77.21,Andhra Pradesh
Anantapur,2017-07-17,70.21,Andhra Pradesh
Anantapur,2017-07-24,70.6,Andhra Pradesh
Anantapur,2017-08-01,71.27,Andhra Pradesh
Anantapur,2017-08-07,72.57,Andhra Pradesh
Anantapur,2017-08-14,73.9,Andhra Pradesh
Anantapur,2017-08-21,74.5,Andhra Pradesh
Anantapur,2017-08-28,75.07,Andhra Pradesh
Anantapur,2017-09-04,75.58,Andhra Pradesh
Anantapur,2017-09-11,76.27,Andhra Pradesh
Anantapur,2017-09-19,76.5,Andhra Pradesh
Anantapur,2017-09-25,76.38,Andhra Pradesh
Anantapur,2017-10-03,76.85,Andhra Pradesh
Anantapur,2017-10-04,74.31,Andhra Pradesh
Anantapur,2017-10-09,74.36,Andhra Pradesh
Anantapur,2017-10-16,74.19,Andhra Pradesh
Anantapur,2017-10-24,74.51,Andhra Pradesh
Anantapur,2017-10-30,75.0,Andhra Pradesh
Anantapur,2017-11-06,75.71,Andhra Pradesh
Anantapur,2017-11-13,75.78,Andhra Pradesh
Anantapur,2017-11-20,75.5,Andhra Pradesh
Anantapur,2017-11-27,75.27,Andhra Pradesh
Anantapur,2017-12-05,75.24,Andhra Pradesh
Anantapur,2017-12-11,75.1,Andhra Pradesh
Anantapur,2017-12-18,75.17,Andhra Pradesh
Anantapur,2017-12-26,75.63,Andhra Pradesh
Anantapur,2018-01-01,75.98,Andhra Pradesh
Anantapur,2018-01-02,76.39,Andhra Pradesh
Anantapur,2018-01-05,76.0,Andhra Pradesh
Anantapur,2018-01-08,76.44,Andhra Pradesh
Anantapur,2018-01-09,76.49,Andhra Pradesh
Anantapur,2018-01-10,76.57,Andhra Pradesh
Anantapur,2018-01-11,76.61,Andhra Pradesh
Anantapur,2018-01-12,76.67,Andhra Pradesh
Anantapur,2018-01-15,77.12,Andhra Pradesh
Anantapur,2018-01-16,77.21,Andhra Pradesh
Anantapur,2018-01-17,77.34,Andhra Pradesh
Anantapur,2018-01-18,77.51,Andhra Pradesh
Anantapur,2018-01-19,77.66,Andhra Pradesh
Anantapur,2018-01-22,78.2,Andhra Pradesh
Anantapur,2018-01-23,78.36,Andhra Pradesh
Anantapur,2018-01-24,78.41,Andhra Pradesh
Anantapur,2018-01-25,78.47,Andhra Pradesh
Anantapur,2018-01-29,78.83,Andhra Pradesh
Anantapur,2018-01-30,78.91,Andhra Pradesh
Anantapur,2018-02-01,79.05,Andhra Pradesh
Anantapur,2018-02-02,79.1,Andhra Pradesh
