city,date,rate,district
Chittoor,2016-07-01,70.75,Andhra Pradesh
Chittoor,2016-07-15,68.43,Andhra Pradesh
Chittoor,2016-08-01,67.06,Andhra Pradesh
Chittoor,2016-08-15,66.08,Andhra Pradesh
Chittoor,2016-09-01,69.56,Andhra Pradesh
Chittoor,2016-09-15,70.35,Andhra Pradesh
Chittoor,2016-10-01,70.73,Andhra Pradesh
Chittoor,2016-10-05,70.84,Andhra Pradesh
Chittoor,2016-10-15,72.63,Andhra Pradesh
Chittoor,2016-11-06,73.98,Andhra Pradesh
Chittoor,2016-11-16,72.19,Andhra Pradesh
Chittoor,2016-12-01,72.37,Andhra Pradesh
Chittoor,2016-12-17,75.3,Andhra Pradesh
Chittoor,2017-01-01,77.01,Andhra Pradesh
Chittoor,2017-01-16,77.56,Andhra Pradesh
Chittoor,2017-02-23,77.3,Andhra Pradesh
Chittoor,2017-04-01,72.9,Andhra Pradesh
Chittoor,2017-04-16,74.73,Andhra Pradesh
Chittoor,2017-05-16,71.9,Andhra Pradesh
Chittoor,2017-06-01,73.54,Andhra Pradesh
Chittoor,2017-06-16,72.0,Andhra Pradesh
Chittoor,2017-06-19,71.15,Andhra Pradesh
Chittoor,2017-06-21,71.04,Andhra Pradesh
Chittoor,2017-06-26,70.01,Andhra Pradesh
Chittoor,2017-06-30,69.77,Andhra Pradesh
Chittoor,2017-07-03,69.55,Andhra Pradesh
Chittoor,2017-07-10,70.27,Andhra Pradesh
Chittoor,2017-07-13,77.7,Andhra Pradesh
Chittoor,2017-07-17,70.62,Andhra Pradesh
Chittoor,2017-07-24,71.01,Andhra Pradesh
Chittoor,2017-08-01,71.64,Andhra Pradesh
Chittoor,2017-08-07,72.94,Andhra Pradesh
Chittoor,2017-08-14,74.26,Andhra Pradesh
Chittoor,2017-08-21,74.87,Andhra Pradesh
Chittoor,2017-08-28,75.44,Andhra Pradesh
Chittoor,2017-09-04,75.95,Andhra Pradesh
Chittoor,2017-09-11,76.64,Andhra Pradesh
Chittoor,2017-09-19,76.86,Andhra Pradesh
Chittoor,2017-09-25,76.75,Andhra Pradesh
Chittoor,2017-10-03,77.22,Andhra Pradesh
Chittoor,2017-10-04,74.68,Andhra Pradesh
Chittoor,2017-10-09,74.72,Andhra Pradesh
Chittoor,2017-10-16,74.56,Andhra Pradesh
Chittoor,2017-10-24,74.88,Andhra Pradesh
Chittoor,2017-10-30,75.36,Andhra Pradesh
Chittoor,2017-11-06,76.06,Andhra Pradesh
Chittoor,2017-11-13,76.13,Andhra Pradesh
Chittoor,2017-11-20,75.85,Andhra Pradesh
Chittoor,2017-11-27,75.61,Andhra Pradesh
Chittoor,2017-12-05,75.58,Andhra Pradesh
Chittoor,2017-12-11,75.45,Andhra Pradesh
Chittoor,2017-12-18,75.52,Andhra Pradesh
Chittoor,2017-12-26,75.97,Andhra Pradesh
Chittoor,2018-01-01,76.32,Andhra Pradesh
Chittoor,2018-01-02,76.91,Andhra Pradesh
Chittoor,2018-01-05,76.34,Andhra Pradesh
Chittoor,2018-01-08,76.79,Andhra Pradesh
Chittoor,2018-01-09,76.84,Andhra Pradesh
Chittoor,2018-01-10,76.91,Andhra Pradesh
Chittoor,2018-01-11,76.95,Andhra Pradesh
Chittoor,2018-01-12,77.01,Andhra Pradesh
Chittoor,2018-01-15,77.47,Andhra Pradesh
Chittoor,2018-01-16,77.56,Andhra Pradesh
Chittoor,2018-01-17,77.68,Andhra Pradesh
Chittoor,2018-01-18,77.86,Andhra Pradesh
Chittoor,2018-01-19,78.0,Andhra Pradesh
Chittoor,2018-01-22,78.55,Andhra Pradesh
Chittoor,2018-01-23,78.7,Andhra Pradesh
Chittoor,2018-01-24,78.75,Andhra Pradesh
Chittoor,2018-01-25,78.81,Andhra Pradesh
Chittoor,2018-01-29,79.17,Andhra Pradesh
Chittoor,2018-01-30,79.26,Andhra Pradesh
Chittoor,2018-02-01,79.39,Andhra Pradesh
Chittoor,2018-02-02,79.44,Andhra Pradesh
Chittoor,2018-02-05,79.66,Andhra Pradesh
Chittoor,2018-02-06,79.73,Andhra Pradesh
Chittoor,2018-02-08,79.72,Andhra Pradesh
Chittoor,2018-02-09,79.7,Andhra Pradesh
Chittoor,2018-02-12,79.35,Andhra Pradesh
Chittoor,2018-02-13,79.28,Andhra Pradesh
Chittoor,2018-02-15,79.12,Andhra Pradesh
Chittoor,2018-02-16,78.85,Andhra Pradesh
Chittoor,2018-02-19,78.23,Andhra Pradesh
Chittoor,2018-02-20,78.03,Andhra Pradesh
Chittoor,2018-02-21,78.02,Andhra Pradesh
