city,date,rate,district
Eluru,2016-04-16,66.65,Andhra Pradesh
Eluru,2016-05-01,67.74,Andhra Pradesh
Eluru,2016-05-17,68.59,Andhra Pradesh
Eluru,2016-06-01,71.25,Andhra Pradesh
Eluru,2016-06-15,71.35,Andhra Pradesh
Eluru,2016-07-01,70.41,Andhra Pradesh
Eluru,2016-07-15,68.18,Andhra Pradesh
Eluru,2016-08-01,66.77,Andhra Pradesh
Eluru,2016-08-15,65.79,Andhra Pradesh
Eluru,2016-09-01,69.27,Andhra Pradesh
Eluru,2016-09-15,70.06,Andhra Pradesh
Eluru,2016-10-01,70.44,Andhra Pradesh
Eluru,2016-10-05,70.55,Andhra Pradesh
Eluru,2016-10-15,72.34,Andhra Pradesh
Eluru,2016-11-06,73.65,Andhra Pradesh
Eluru,2016-11-16,71.87,Andhra Pradesh
Eluru,2016-12-01,72.05,Andhra Pradesh
Eluru,2016-12-17,74.98,Andhra Pradesh
Eluru,2017-01-01,76.68,Andhra Pradesh
Eluru,2017-01-16,77.24,Andhra Pradesh
Eluru,2017-02-23,76.98,Andhra Pradesh
Eluru,2017-04-01,72.57,Andhra Pradesh
Eluru,2017-04-16,74.4,Andhra Pradesh
Eluru,2017-05-01,74.41,Andhra Pradesh
Eluru,2017-05-16,71.58,Andhra Pradesh
Eluru,2017-06-01,73.22,Andhra Pradesh
Eluru,2017-06-16,71.62,Andhra Pradesh
Eluru,2017-06-19,70.77,Andhra Pradesh
Eluru,2017-06-21,70.66,Andhra Pradesh
Eluru,2017-06-26,69.64,Andhra Pradesh
Eluru,2017-06-30,69.39,Andhra Pradesh
Eluru,2017-07-03,69.17,Andhra Pradesh
Eluru,2017-07-10,69.89,Andhra Pradesh
Eluru,2017-07-13,77.45,Andhra Pradesh
Eluru,2017-07-17,70.25,Andhra Pradesh
Eluru,2017-07-24,70.64,Andhra Pradesh
Eluru,2017-08-01,71.3,Andhra Pradesh
Eluru,2017-08-07,72.59,Andhra Pradesh
Eluru,2017-08-14,73.92,Andhra Pradesh
Eluru,2017-08-21,74.53,Andhra Pradesh
Eluru,2017-08-28,75.09,Andhra Pradesh
Eluru,2017-09-04,75.61,Andhra Pradesh
Eluru,2017-09-11,76.27,Andhra Pradesh
Eluru,2017-09-19,76.49,Andhra Pradesh
Eluru,2017-09-25,76.38,Andhra Pradesh
Eluru,2017-10-03,76.85,Andhra Pradesh
Eluru,2017-10-04,74.31,Andhra Pradesh
Eluru,2017-10-09,74.35,Andhra Pradesh
Eluru,2017-10-16,74.19,Andhra Pradesh
Eluru,2017-10-24,74.51,Andhra Pradesh
Eluru,2017-10-30,74.99,Andhra Pradesh
Eluru,2017-11-06,75.73,Andhra Pradesh
Eluru,2017-11-13,75.8,Andhra Pradesh
Eluru,2017-11-20,75.52,Andhra Pradesh
Eluru,2017-11-27,75.28,Andhra Pradesh
Eluru,2017-12-05,75.25,Andhra Pradesh
Eluru,2017-12-11,75.12,Andhra Pradesh
Eluru,2017-12-18,75.19,Andhra Pradesh
Eluru,2017-12-26,75.64,Andhra Pradesh
Eluru,2018-01-01,75.99,Andhra Pradesh
Eluru,2018-01-02,76.56,Andhra Pradesh
Eluru,2018-01-05,76.01,Andhra Pradesh
Eluru,2018-01-08,76.46,Andhra Pradesh
Eluru,2018-01-09,76.51,Andhra Pradesh
Eluru,2018-01-10,76.58,Andhra Pradesh
Eluru,2018-01-11,76.63,Andhra Pradesh
Eluru,2018-01-12,76.69,Andhra Pradesh
Eluru,2018-01-15,77.14,Andhra Pradesh
Eluru,2018-01-16,77.23,Andhra Pradesh
Eluru,2018-01-17,77.36,Andhra Pradesh
Eluru,2018-01-18,77.53,Andhra Pradesh
Eluru,2018-01-19,77.67,Andhra Pradesh
Eluru,2018-01-22,78.22,Andhra Pradesh
Eluru,2018-01-23,78.37,Andhra Pradesh
Eluru,2018-01-24,78.43,Andhra Pradesh
Eluru,2018-01-25,78.49,Andhra Pradesh
Eluru,2018-01-29,78.85,Andhra Pradesh
Eluru,2018-01-30,78.93,Andhra Pradesh
Eluru,2018-02-01,79.06,Andhra Pradesh
Eluru,2018-02-02,79.12,Andhra Pradesh
Eluru,2018-02-05,79.33,Andhra Pradesh
Eluru,2018-02-06,79.4,Andhra Pradesh
Eluru,2018-02-08,79.39,Andhra Pradesh
Eluru,2018-02-09,79.37,Andhra Pradesh
Eluru,2018-02-12,79.02,Andhra Pradesh
Eluru,2018-02-13,78.95,Andhra Pradesh
Eluru,2018-02-15,78.8,Andhra Pradesh
Eluru,2018-02-16,78.52,Andhra Pradesh
Eluru,2018-02-20,77.71,Andhra Pradesh
Eluru,2018-02-21,77.7,Andhra Pradesh
