city,date,rate,district
Guntur,2016-03-17,65.15,Andhra Pradesh
Guntur,2016-04-05,67.4,Andhra Pradesh
Guntur,2016-04-16,66.64,Andhra Pradesh
Guntur,2016-05-01,67.73,Andhra Pradesh
Guntur,2016-05-17,68.58,Andhra Pradesh
Guntur,2016-06-01,71.24,Andhra Pradesh
Guntur,2016-06-15,71.34,Andhra Pradesh
Guntur,2016-07-01,70.4,Andhra Pradesh
Guntur,2016-07-15,68.12,Andhra Pradesh
Guntur,2016-08-01,66.69,Andhra Pradesh
Guntur,2016-08-15,65.71,Andhra Pradesh
Guntur,2016-09-01,69.19,Andhra Pradesh
Guntur,2016-09-15,69.98,Andhra Pradesh
Guntur,2016-10-01,70.36,Andhra Pradesh
Guntur,2016-10-05,70.47,Andhra Pradesh
Guntur,2016-10-15,72.26,Andhra Pradesh
Guntur,2016-11-06,73.56,Andhra Pradesh
Guntur,2016-11-16,71.78,Andhra Pradesh
Guntur,2016-12-01,71.95,Andhra Pradesh
Guntur,2016-12-17,74.88,Andhra Pradesh
Guntur,2017-01-01,76.59,Andhra Pradesh
Guntur,2017-01-16,77.15,Andhra Pradesh
Guntur,2017-02-23,76.95,Andhra Pradesh
Guntur,2017-04-01,72.53,Andhra Pradesh
Guntur,2017-04-16,74.36,Andhra Pradesh
Guntur,2017-05-01,74.37,Andhra Pradesh
Guntur,2017-05-16,71.54,Andhra Pradesh
Guntur,2017-06-01,73.18,Andhra Pradesh
Guntur,2017-06-16,71.57,Andhra Pradesh
Guntur,2017-06-19,70.72,Andhra Pradesh
Guntur,2017-06-21,70.62,Andhra Pradesh
Guntur,2017-06-26,69.59,Andhra Pradesh
Guntur,2017-06-30,69.34,Andhra Pradesh
Guntur,2017-07-03,69.13,Andhra Pradesh
Guntur,2017-07-10,69.85,Andhra Pradesh
Guntur,2017-07-13,77.28,Andhra Pradesh
Guntur,2017-07-17,70.2,Andhra Pradesh
Guntur,2017-07-24,70.59,Andhra Pradesh
Guntur,2017-08-01,71.27,Andhra Pradesh
Guntur,2017-08-07,72.57,Andhra Pradesh
Guntur,2017-08-14,73.89,Andhra Pradesh
Guntur,2017-08-21,74.5,Andhra Pradesh
Guntur,2017-08-28,75.07,Andhra Pradesh
Guntur,2017-09-04,75.58,Andhra Pradesh
Guntur,2017-09-11,76.27,Andhra Pradesh
Guntur,2017-09-19,76.49,Andhra Pradesh
Guntur,2017-09-25,76.38,Andhra Pradesh
Guntur,2017-10-03,76.85,Andhra Pradesh
Guntur,2017-10-04,74.31,Andhra Pradesh
Guntur,2017-10-09,74.35,Andhra Pradesh
Guntur,2017-10-16,74.19,Andhra Pradesh
Guntur,2017-10-24,74.51,Andhra Pradesh
Guntur,2017-10-30,74.99,Andhra Pradesh
Guntur,2017-11-06,75.71,Andhra Pradesh
Guntur,2017-11-13,75.78,Andhra Pradesh
Guntur,2017-11-20,75.5,Andhra Pradesh
Guntur,2017-11-27,75.26,Andhra Pradesh
Guntur,2017-12-05,75.23,Andhra Pradesh
Guntur,2017-12-11,75.1,Andhra Pradesh
Guntur,2017-12-18,75.17,Andhra Pradesh
Guntur,2017-12-26,75.62,Andhra Pradesh
Guntur,2018-01-01,75.97,Andhra Pradesh
Guntur,2018-01-02,76.39,Andhra Pradesh
Guntur,2018-01-05,75.99,Andhra Pradesh
Guntur,2018-01-08,76.44,Andhra Pradesh
Guntur,2018-01-09,76.49,Andhra Pradesh
Guntur,2018-01-10,76.56,Andhra Pradesh
Guntur,2018-01-11,76.61,Andhra Pradesh
Guntur,2018-01-12,76.67,Andhra Pradesh
Guntur,2018-01-15,77.12,Andhra Pradesh
