city,date,rate,district
Hyderabad,2012-05-24,81.44,Andhra Pradesh
Hyderabad,2012-06-03,78.11,Andhra Pradesh
Hyderabad,2012-06-29,74.89,Andhra Pradesh
Hyderabad,2012-07-24,75.8,Andhra Pradesh
Hyderabad,2012-07-25,75.42,Andhra Pradesh
Hyderabad,2012-10-09,74.68,Andhra Pradesh
Hyderabad,2012-10-27,74.98,Andhra Pradesh
Hyderabad,2012-11-16,73.73,Andhra Pradesh
Hyderabad,2013-01-18,73.41,Andhra Pradesh
Hyderabad,2013-02-16,75.37,Andhra Pradesh
Hyderabad,2013-03-02,77.21,Andhra Pradesh
Hyderabad,2013-03-16,74.59,Andhra Pradesh
Hyderabad,2013-04-02,73.44,Andhra Pradesh
Hyderabad,2013-04-16,72.14,Andhra Pradesh
Hyderabad,2013-05-01,68.86,Andhra Pradesh
Hyderabad,2013-06-01,69.84,Andhra Pradesh
Hyderabad,2013-06-16,72.46,Andhra Pradesh
Hyderabad,2013-06-29,74.9,Andhra Pradesh
Hyderabad,2013-07-15,76.94,Andhra Pradesh
Hyderabad,2013-08-01,77.85,Andhra Pradesh
Hyderabad,2013-09-01,80.93,Andhra Pradesh
Hyderabad,2013-09-14,83.07,Andhra Pradesh
Hyderabad,2013-10-01,79.08,Andhra Pradesh
Hyderabad,2013-11-01,77.57,Andhra Pradesh
Hyderabad,2013-12-21,78.1,Andhra Pradesh
Hyderabad,2014-01-04,79.11,Andhra Pradesh
Hyderabad,2014-03-01,79.9,Andhra Pradesh
Hyderabad,2014-04-01,78.92,Andhra Pradesh
Hyderabad,2014-04-16,78.0,Andhra Pradesh
Hyderabad,2014-06-07,78.11,Andhra Pradesh
Hyderabad,2014-06-25,78.17,Andhra Pradesh
Hyderabad,2014-07-01,80.41,Andhra Pradesh
Hyderabad,2014-08-01,79.22,Andhra Pradesh
Hyderabad,2014-08-15,76.84,Andhra Pradesh
Hyderabad,2014-08-31,74.86,Andhra Pradesh
Hyderabad,2014-10-01,74.15,Andhra Pradesh
Hyderabad,2014-10-15,72.83,Andhra Pradesh
Hyderabad,2014-11-01,70.19,Andhra Pradesh
Hyderabad,2014-12-01,69.19,Andhra Pradesh
Hyderabad,2014-12-16,67.02,Andhra Pradesh
Hyderabad,2015-01-17,64.37,Andhra Pradesh
Hyderabad,2015-02-01,66.38,Andhra Pradesh
Hyderabad,2015-02-04,63.81,Andhra Pradesh
Hyderabad,2015-02-06,63.73,Andhra Pradesh
Hyderabad,2015-02-16,64.65,Andhra Pradesh
Hyderabad,2015-03-01,68.23,Andhra Pradesh
Hyderabad,2015-04-02,67.69,Andhra Pradesh
Hyderabad,2015-04-15,66.79,Andhra Pradesh
Hyderabad,2015-05-01,71.21,Andhra Pradesh
Hyderabad,2015-05-16,74.73,Andhra Pradesh
Hyderabad,2015-06-16,75.45,Andhra Pradesh
Hyderabad,2015-07-01,75.11,Andhra Pradesh
Hyderabad,2015-07-15,72.52,Andhra Pradesh
Hyderabad,2015-08-01,69.82,Andhra Pradesh
Hyderabad,2015-08-15,68.45,Andhra Pradesh
Hyderabad,2015-09-01,66.29,Andhra Pradesh
Hyderabad,2015-11-01,65.76,Andhra Pradesh
Hyderabad,2015-11-16,66.07,Andhra Pradesh
Hyderabad,2015-12-01,65.47,Andhra Pradesh
Hyderabad,2015-12-16,64.92,Andhra Pradesh
Hyderabad,2016-01-01,64.24,Andhra Pradesh
Hyderabad,2016-01-16,63.9,Andhra Pradesh
Hyderabad,2016-02-01,63.85,Andhra Pradesh
Hyderabad,2016-02-17,63.84,Andhra Pradesh
Hyderabad,2016-03-09,60.63,Andhra Pradesh
Hyderabad,2016-03-17,63.9,Andhra Pradesh
Hyderabad,2016-04-05,66.22,Andhra Pradesh
Hyderabad,2016-04-16,65.18,Andhra Pradesh
Hyderabad,2016-05-01,66.29,Andhra Pradesh
Hyderabad,2016-05-17,67.17,Andhra Pradesh
Hyderabad,2016-06-01,69.91,Andhra Pradesh
Hyderabad,2016-06-16,69.96,Andhra Pradesh
Hyderabad,2016-07-01,69.06,Andhra Pradesh
Hyderabad,2016-07-15,66.67,Andhra Pradesh
Hyderabad,2016-08-01,65.22,Andhra Pradesh
Hyderabad,2016-08-15,64.16,Andhra Pradesh
Hyderabad,2016-09-01,67.75,Andhra Pradesh
Hyderabad,2016-09-15,68.56,Andhra Pradesh
Hyderabad,2016-10-01,68.95,Andhra Pradesh
Hyderabad,2016-10-05,69.07,Andhra Pradesh
Hyderabad,2016-10-15,70.91,Andhra Pradesh
Hyderabad,2016-11-06,72.25,Andhra Pradesh
Hyderabad,2016-11-16,70.4,Andhra Pradesh
Hyderabad,2016-12-01,70.58,Andhra Pradesh
Hyderabad,2016-12-17,73.61,Andhra Pradesh
Hyderabad,2017-01-01,75.37,Andhra Pradesh
Hyderabad,2017-01-16,75.94,Andhra Pradesh
Hyderabad,2017-04-01,70.81,Andhra Pradesh
Hyderabad,2017-04-16,72.7,Andhra Pradesh
Hyderabad,2017-05-01,72.72,Andhra Pradesh
Hyderabad,2017-05-16,69.8,Andhra Pradesh
Hyderabad,2017-06-01,71.49,Andhra Pradesh
Hyderabad,2017-06-16,69.61,Andhra Pradesh
