city,date,rate,district
Kadapa,2016-04-16,66.01,Andhra Pradesh
Kadapa,2016-05-01,67.1,Andhra Pradesh
Kadapa,2016-05-17,67.96,Andhra Pradesh
Kadapa,2016-06-01,70.61,Andhra Pradesh
Kadapa,2016-06-15,70.72,Andhra Pradesh
Kadapa,2016-07-01,69.79,Andhra Pradesh
Kadapa,2016-07-15,67.48,Andhra Pradesh
Kadapa,2016-08-01,66.05,Andhra Pradesh
Kadapa,2016-08-15,65.02,Andhra Pradesh
Kadapa,2016-09-01,68.5,Andhra Pradesh
Kadapa,2016-09-15,69.29,Andhra Pradesh
Kadapa,2016-10-01,69.67,Andhra Pradesh
Kadapa,2016-10-05,69.78,Andhra Pradesh
Kadapa,2016-10-15,71.57,Andhra Pradesh
Kadapa,2016-11-06,72.85,Andhra Pradesh
Kadapa,2016-11-16,71.07,Andhra Pradesh
Kadapa,2016-12-01,71.24,Andhra Pradesh
Kadapa,2016-12-17,74.17,Andhra Pradesh
Kadapa,2017-01-01,75.88,Andhra Pradesh
Kadapa,2017-01-16,76.44,Andhra Pradesh
Kadapa,2017-04-01,71.99,Andhra Pradesh
Kadapa,2017-04-16,73.83,Andhra Pradesh
Kadapa,2017-05-01,73.85,Andhra Pradesh
Kadapa,2017-05-16,71.02,Andhra Pradesh
Kadapa,2017-06-01,72.65,Andhra Pradesh
Kadapa,2017-06-16,70.9,Andhra Pradesh
Kadapa,2017-06-19,70.05,Andhra Pradesh
Kadapa,2017-06-21,69.94,Andhra Pradesh
Kadapa,2017-06-26,68.91,Andhra Pradesh
Kadapa,2017-06-30,68.67,Andhra Pradesh
Kadapa,2017-07-03,68.45,Andhra Pradesh
Kadapa,2017-07-10,69.17,Andhra Pradesh
Kadapa,2017-07-13,76.52,Andhra Pradesh
Kadapa,2017-07-17,69.52,Andhra Pradesh
Kadapa,2017-07-24,69.91,Andhra Pradesh
Kadapa,2017-08-01,70.61,Andhra Pradesh
Kadapa,2017-08-07,71.91,Andhra Pradesh
Kadapa,2017-08-14,73.23,Andhra Pradesh
Kadapa,2017-08-21,73.84,Andhra Pradesh
Kadapa,2017-08-28,74.41,Andhra Pradesh
Kadapa,2017-09-04,74.92,Andhra Pradesh
Kadapa,2017-09-11,75.61,Andhra Pradesh
Kadapa,2017-09-19,75.83,Andhra Pradesh
Kadapa,2017-09-25,75.72,Andhra Pradesh
Kadapa,2017-10-03,76.19,Andhra Pradesh
Kadapa,2017-10-04,73.65,Andhra Pradesh
Kadapa,2017-10-09,74.36,Andhra Pradesh
Kadapa,2017-10-16,73.53,Andhra Pradesh
Kadapa,2017-10-24,73.85,Andhra Pradesh
Kadapa,2017-10-30,74.33,Andhra Pradesh
Kadapa,2017-11-06,75.06,Andhra Pradesh
Kadapa,2017-11-13,75.13,Andhra Pradesh
Kadapa,2017-11-20,74.85,Andhra Pradesh
Kadapa,2017-11-27,74.61,Andhra Pradesh
Kadapa,2017-12-05,74.58,Andhra Pradesh
Kadapa,2017-12-11,74.45,Andhra Pradesh
Kadapa,2017-12-18,74.52,Andhra Pradesh
Kadapa,2017-12-26,74.97,Andhra Pradesh
Kadapa,2018-01-01,75.32,Andhra Pradesh
Kadapa,2018-01-02,75.67,Andhra Pradesh
Kadapa,2018-01-05,75.34,Andhra Pradesh
Kadapa,2018-01-08,75.79,Andhra Pradesh
Kadapa,2018-01-09,75.84,Andhra Pradesh
Kadapa,2018-01-10,75.91,Andhra Pradesh
Kadapa,2018-01-11,75.95,Andhra Pradesh
Kadapa,2018-01-12,76.02,Andhra Pradesh
Kadapa,2018-01-15,76.47,Andhra Pradesh
Kadapa,2018-01-16,76.56,Andhra Pradesh
Kadapa,2018-01-17,76.69,Andhra Pradesh
Kadapa,2018-01-18,76.86,Andhra Pradesh
Kadapa,2018-01-19,77.0,Andhra Pradesh
Kadapa,2018-01-22,77.55,Andhra Pradesh
Kadapa,2018-01-23,77.7,Andhra Pradesh
Kadapa,2018-01-24,77.76,Andhra Pradesh
Kadapa,2018-01-25,77.82,Andhra Pradesh
Kadapa,2018-01-29,78.18,Andhra Pradesh
Kadapa,2018-01-30,78.26,Andhra Pradesh
Kadapa,2018-02-01,78.39,Andhra Pradesh
Kadapa,2018-02-02,78.45,Andhra Pradesh
Kadapa,2018-02-05,78.66,Andhra Pradesh
Kadapa,2018-02-06,78.73,Andhra Pradesh
Kadapa,2018-02-08,78.72,Andhra Pradesh
Kadapa,2018-02-09,78.7,Andhra Pradesh
Kadapa,2018-02-12,78.35,Andhra Pradesh
Kadapa,2018-02-13,78.28,Andhra Pradesh
Kadapa,2018-02-15,78.13,Andhra Pradesh
Kadapa,2018-02-16,77.85,Andhra Pradesh
Kadapa,2018-02-19,77.23,Andhra Pradesh
Kadapa,2018-02-20,77.04,Andhra Pradesh
Kadapa,2018-02-21,77.03,Andhra Pradesh
Kadapa,2018-02-22,77.0,Andhra Pradesh
Kadapa,2018-02-23,76.91,Andhra Pradesh
Kadapa,2018-02-26,76.83,Andhra Pradesh
Kadapa,2018-02-27,76.81,Andhra Pradesh
Kadapa,2018-03-01,76.94,Andhra Pradesh
Kadapa,2018-03-02,77.13,Andhra Pradesh
Kadapa,2018-03-05,77.72,Andhra Pradesh
Kadapa,2018-03-06,77.79,Andhra Pradesh
Kadapa,2018-03-09,77.83,Andhra Pradesh
Kadapa,2018-03-12,77.85,Andhra Pradesh
Kadapa,2018-03-13,77.87,Andhra Pradesh
Kadapa,2018-03-15,77.85,Andhra Pradesh
Kadapa,2018-03-16,77.77,Andhra Pradesh
Kadapa,2018-03-19,77.58,Andhra Pradesh
Kadapa,2018-03-20,77.59,Andhra Pradesh
Kadapa,2018-03-22,77.65,Andhra Pradesh
Kadapa,2018-03-23,77.7,Andhra Pradesh
Kadapa,2018-03-26,78.2,Andhra Pradesh
Kadapa,2018-03-27,78.31,Andhra Pradesh
Kadapa,2018-03-29,78.5,Andhra Pradesh
Kadapa,2018-03-30,78.73,Andhra Pradesh
Kadapa,2018-04-02,79.24,Andhra Pradesh
Kadapa,2018-04-03,79.38,Andhra Pradesh
Kadapa,2018-04-05,79.41,Andhra Pradesh
Kadapa,2018-04-09,79.42,Andhra Pradesh
Kadapa,2018-04-10,79.41,Andhra Pradesh
Kadapa,2018-04-12,79.37,Andhra Pradesh
Kadapa,2018-04-13,79.34,Andhra Pradesh
Kadapa,2018-04-16,79.45,Andhra Pradesh
Kadapa,2018-04-19,79.5,Andhra Pradesh
Kadapa,2018-04-20,79.51,Andhra Pradesh
Kadapa,2018-04-23,79.95,Andhra Pradesh
Kadapa,2018-04-24,80.08,Andhra Pradesh
Kadapa,2018-05-14,80.26,Andhra Pradesh
Kadapa,2018-05-15,80.41,Andhra Pradesh
Kadapa,2018-05-16,80.56,Andhra Pradesh
Kadapa,2018-05-17,80.79,Andhra Pradesh
Kadapa,2018-05-18,80.26,Andhra Pradesh
Kadapa,2018-05-21,82.08,Andhra Pradesh
Kadapa,2018-05-22,82.39,Andhra Pradesh
Kadapa,2018-05-23,82.69,Andhra Pradesh
Kadapa,2018-05-24,83.0,Andhra Pradesh
Kadapa,2018-05-25,83.37,Andhra Pradesh
Kadapa,2018-05-26,83.52,Andhra Pradesh
Kadapa,2018-05-27,83.67,Andhra Pradesh
Kadapa,2018-05-28,83.83,Andhra Pradesh
Kadapa,2018-05-29,83.99,Andhra Pradesh
Kadapa,2018-05-31,83.91,Andhra Pradesh
Kadapa,2018-06-01,83.85,Andhra Pradesh
Kadapa,2018-06-02,83.75,Andhra Pradesh
Kadapa,2018-06-03,83.66,Andhra Pradesh
Kadapa,2018-06-04,83.51,Andhra Pradesh
Kadapa,2018-06-05,83.37,Andhra Pradesh
Kadapa,2018-06-06,83.26,Andhra Pradesh
Kadapa,2018-06-07,83.17,Andhra Pradesh
Kadapa,2018-06-08,82.95,Andhra Pradesh
Kadapa,2018-06-09,82.54,Andhra Pradesh
Kadapa,2018-06-10,82.29,Andhra Pradesh
Kadapa,2018-06-11,82.09,Andhra Pradesh
Kadapa,2018-06-12,81.93,Andhra Pradesh
Kadapa,2018-06-15,81.85,Andhra Pradesh
Kadapa,2018-06-19,81.77,Andhra Pradesh
Kadapa,2018-06-21,81.65,Andhra Pradesh
Kadapa,2018-06-22,81.51,Andhra Pradesh
Kadapa,2018-06-23,81.42,Andhra Pradesh
Kadapa,2018-06-24,81.27,Andhra Pradesh
Kadapa,2018-06-25,81.17,Andhra Pradesh
Kadapa,2018-06-26,81.03,Andhra Pradesh
Kadapa,2018-07-05,81.19,Andhra Pradesh
Kadapa,2018-07-06,81.34,Andhra Pradesh
Kadapa,2018-07-09,81.86,Andhra Pradesh
Kadapa,2018-07-10,82.04,Andhra Pradesh
Kadapa,2018-07-12,82.1,Andhra Pradesh
Kadapa,2018-07-13,82.27,Andhra Pradesh
Kadapa,2018-07-16,82.37,Andhra Pradesh
Kadapa,2018-07-20,82.21,Andhra Pradesh
Kadapa,2018-07-23,81.88,Andhra Pradesh
Kadapa,2018-07-24,81.81,Andhra Pradesh
Kadapa,2018-07-30,81.83,Andhra Pradesh
Kadapa,2018-07-31,81.89,Andhra Pradesh
Kadapa,2018-08-02,82.01,Andhra Pradesh
Kadapa,2018-08-03,82.08,Andhra Pradesh
Kadapa,2018-08-06,82.57,Andhra Pradesh
Kadapa,2018-08-07,82.66,Andhra Pradesh
Kadapa,2018-08-13,82.74,Andhra Pradesh
Kadapa,2018-08-16,82.79,Andhra Pradesh
Kadapa,2018-08-20,83.1,Andhra Pradesh
Kadapa,2018-08-21,83.2,Andhra Pradesh
Kadapa,2018-08-24,83.29,Andhra Pradesh
Kadapa,2018-08-25,75.44,Andhra Pradesh
Kadapa,2018-08-26,75.52,Andhra Pradesh
Kadapa,2018-08-27,83.54,Andhra Pradesh
Kadapa,2018-08-28,83.68,Andhra Pradesh
Kadapa,2018-08-29,83.81,Andhra Pradesh
Kadapa,2018-08-30,83.94,Andhra Pradesh
Kadapa,2018-08-31,84.16,Andhra Pradesh
Kadapa,2018-09-03,84.85,Andhra Pradesh
Kadapa,2018-09-04,85.02,Andhra Pradesh
Kadapa,2018-09-06,85.22,Andhra Pradesh
Kadapa,2018-09-07,85.72,Andhra Pradesh
Kadapa,2018-09-10,86.48,Andhra Pradesh
Kadapa,2018-09-11,84.61,Andhra Pradesh
Kadapa,2018-09-13,84.74,Andhra Pradesh
Kadapa,2018-09-14,85.03,Andhra Pradesh
Kadapa,2018-09-15,85.39,Andhra Pradesh
Kadapa,2018-09-16,85.68,Andhra Pradesh
Kadapa,2018-09-17,85.83,Andhra Pradesh
Kadapa,2018-09-18,85.93,Andhra Pradesh
Kadapa,2018-09-20,86.0,Andhra Pradesh
Kadapa,2018-09-21,86.1,Andhra Pradesh
Kadapa,2018-09-23,86.38,Andhra Pradesh
Kadapa,2018-09-24,86.5,Andhra Pradesh
Kadapa,2018-09-25,86.64,Andhra Pradesh
Kadapa,2018-09-27,86.78,Andhra Pradesh
Kadapa,2018-09-28,87.01,Andhra Pradesh
Kadapa,2018-09-30,87.29,Andhra Pradesh
Kadapa,2018-10-01,87.52,Andhra Pradesh
Kadapa,2018-10-02,87.63,Andhra Pradesh
Kadapa,2018-10-04,87.77,Andhra Pradesh
Kadapa,2018-10-05,85.2,Andhra Pradesh
Kadapa,2018-10-06,85.39,Andhra Pradesh
Kadapa,2018-10-07,85.53,Andhra Pradesh
Kadapa,2018-10-08,85.75,Andhra Pradesh
Kadapa,2018-10-09,85.98,Andhra Pradesh
Kadapa,2018-10-11,86.09,Andhra Pradesh
Kadapa,2018-10-12,86.21,Andhra Pradesh
Kadapa,2018-10-13,86.39,Andhra Pradesh
Kadapa,2018-10-14,86.46,Andhra Pradesh
Kadapa,2018-10-16,86.57,Andhra Pradesh
Kadapa,2018-10-19,86.11,Andhra Pradesh
