city,date,rate,district
Kakinada,2016-04-16,66.75,Andhra Pradesh
Kakinada,2016-05-01,67.84,Andhra Pradesh
Kakinada,2016-05-17,68.7,Andhra Pradesh
Kakinada,2016-06-01,71.35,Andhra Pradesh
Kakinada,2016-06-15,71.46,Andhra Pradesh
Kakinada,2016-07-01,70.52,Andhra Pradesh
Kakinada,2016-07-15,68.2,Andhra Pradesh
Kakinada,2016-08-01,66.81,Andhra Pradesh
Kakinada,2016-08-15,65.88,Andhra Pradesh
Kakinada,2016-09-01,69.36,Andhra Pradesh
Kakinada,2016-09-15,70.15,Andhra Pradesh
Kakinada,2016-10-01,70.53,Andhra Pradesh
Kakinada,2016-10-05,70.64,Andhra Pradesh
Kakinada,2016-10-15,72.43,Andhra Pradesh
Kakinada,2016-11-06,73.76,Andhra Pradesh
Kakinada,2016-11-16,71.98,Andhra Pradesh
Kakinada,2016-12-01,72.15,Andhra Pradesh
Kakinada,2016-12-17,75.08,Andhra Pradesh
Kakinada,2017-01-01,76.79,Andhra Pradesh
Kakinada,2017-01-16,77.35,Andhra Pradesh
Kakinada,2017-04-01,72.94,Andhra Pradesh
Kakinada,2017-04-16,74.77,Andhra Pradesh
Kakinada,2017-05-01,74.78,Andhra Pradesh
Kakinada,2017-05-16,71.95,Andhra Pradesh
Kakinada,2017-06-01,73.59,Andhra Pradesh
Kakinada,2017-06-16,71.77,Andhra Pradesh
Kakinada,2017-06-19,70.92,Andhra Pradesh
Kakinada,2017-06-21,70.81,Andhra Pradesh
Kakinada,2017-06-26,69.79,Andhra Pradesh
Kakinada,2017-06-30,69.54,Andhra Pradesh
Kakinada,2017-07-03,69.32,Andhra Pradesh
Kakinada,2017-07-10,70.04,Andhra Pradesh
Kakinada,2017-07-13,77.47,Andhra Pradesh
Kakinada,2017-07-17,70.39,Andhra Pradesh
Kakinada,2017-07-24,70.79,Andhra Pradesh
Kakinada,2017-08-01,71.43,Andhra Pradesh
Kakinada,2017-08-07,72.73,Andhra Pradesh
Kakinada,2017-08-14,74.05,Andhra Pradesh
Kakinada,2017-08-21,74.66,Andhra Pradesh
Kakinada,2017-08-28,75.23,Andhra Pradesh
Kakinada,2017-09-04,75.74,Andhra Pradesh
Kakinada,2017-09-11,76.43,Andhra Pradesh
Kakinada,2017-09-19,76.65,Andhra Pradesh
Kakinada,2017-09-25,76.54,Andhra Pradesh
Kakinada,2017-10-03,77.01,Andhra Pradesh
Kakinada,2017-10-04,74.47,Andhra Pradesh
Kakinada,2017-10-09,74.51,Andhra Pradesh
Kakinada,2017-10-16,74.35,Andhra Pradesh
Kakinada,2017-10-24,74.67,Andhra Pradesh
Kakinada,2017-10-30,75.15,Andhra Pradesh
Kakinada,2017-11-06,75.86,Andhra Pradesh
Kakinada,2017-11-13,75.92,Andhra Pradesh
Kakinada,2017-11-20,75.65,Andhra Pradesh
Kakinada,2017-11-27,75.41,Andhra Pradesh
Kakinada,2017-12-05,75.38,Andhra Pradesh
Kakinada,2017-12-11,75.25,Andhra Pradesh
Kakinada,2017-12-18,75.32,Andhra Pradesh
Kakinada,2017-12-26,75.77,Andhra Pradesh
Kakinada,2018-01-01,76.12,Andhra Pradesh
Kakinada,2018-01-02,76.67,Andhra Pradesh
Kakinada,2018-01-05,76.14,Andhra Pradesh
Kakinada,2018-01-08,76.59,Andhra Pradesh
Kakinada,2018-01-09,76.64,Andhra Pradesh
Kakinada,2018-01-10,76.71,Andhra Pradesh
Kakinada,2018-01-11,76.75,Andhra Pradesh
Kakinada,2018-01-12,76.81,Andhra Pradesh
Kakinada,2018-01-15,77.27,Andhra Pradesh
Kakinada,2018-01-16,77.36,Andhra Pradesh
Kakinada,2018-01-17,77.48,Andhra Pradesh
Kakinada,2018-01-18,77.66,Andhra Pradesh
Kakinada,2018-01-19,77.8,Andhra Pradesh
Kakinada,2018-01-22,78.35,Andhra Pradesh
Kakinada,2018-01-23,78.5,Andhra Pradesh
Kakinada,2018-01-24,78.55,Andhra Pradesh
Kakinada,2018-01-25,78.61,Andhra Pradesh
Kakinada,2018-01-29,78.97,Andhra Pradesh
Kakinada,2018-01-30,79.06,Andhra Pradesh
Kakinada,2018-02-01,79.19,Andhra Pradesh
Kakinada,2018-02-02,79.24,Andhra Pradesh
Kakinada,2018-02-05,79.46,Andhra Pradesh
Kakinada,2018-02-06,79.53,Andhra Pradesh
Kakinada,2018-02-08,79.52,Andhra Pradesh
Kakinada,2018-02-09,79.5,Andhra Pradesh
Kakinada,2018-02-12,79.15,Andhra Pradesh
Kakinada,2018-02-13,79.08,Andhra Pradesh
Kakinada,2018-02-15,78.92,Andhra Pradesh
Kakinada,2018-02-16,78.64,Andhra Pradesh
Kakinada,2018-02-19,78.03,Andhra Pradesh
Kakinada,2018-02-20,77.83,Andhra Pradesh
Kakinada,2018-02-21,77.82,Andhra Pradesh
Kakinada,2018-02-22,77.8,Andhra Pradesh
Kakinada,2018-02-23,77.71,Andhra Pradesh
Kakinada,2018-02-26,77.63,Andhra Pradesh
Kakinada,2018-02-27,77.61,Andhra Pradesh
Kakinada,2018-03-01,77.74,Andhra Pradesh
Kakinada,2018-03-02,77.93,Andhra Pradesh
Kakinada,2018-03-05,78.51,Andhra Pradesh
Kakinada,2018-03-06,78.58,Andhra Pradesh
Kakinada,2018-03-09,78.63,Andhra Pradesh
Kakinada,2018-03-12,78.65,Andhra Pradesh
Kakinada,2018-03-13,78.67,Andhra Pradesh
Kakinada,2018-03-15,78.65,Andhra Pradesh
Kakinada,2018-03-16,78.56,Andhra Pradesh
Kakinada,2018-03-19,78.38,Andhra Pradesh
Kakinada,2018-03-20,78.39,Andhra Pradesh
Kakinada,2018-03-22,78.45,Andhra Pradesh
Kakinada,2018-03-23,78.49,Andhra Pradesh
Kakinada,2018-03-26,79.0,Andhra Pradesh
Kakinada,2018-03-27,79.11,Andhra Pradesh
Kakinada,2018-03-29,79.29,Andhra Pradesh
Kakinada,2018-03-30,79.53,Andhra Pradesh
Kakinada,2018-04-02,80.04,Andhra Pradesh
Kakinada,2018-04-03,80.18,Andhra Pradesh
Kakinada,2018-04-05,80.21,Andhra Pradesh
Kakinada,2018-04-09,80.22,Andhra Pradesh
Kakinada,2018-04-10,80.21,Andhra Pradesh
Kakinada,2018-04-12,80.17,Andhra Pradesh
Kakinada,2018-04-13,80.14,Andhra Pradesh
Kakinada,2018-04-16,80.25,Andhra Pradesh
Kakinada,2018-04-19,80.3,Andhra Pradesh
Kakinada,2018-04-20,80.31,Andhra Pradesh
Kakinada,2018-04-23,80.74,Andhra Pradesh
Kakinada,2018-04-24,80.88,Andhra Pradesh
Kakinada,2018-05-14,81.11,Andhra Pradesh
Kakinada,2018-05-15,81.27,Andhra Pradesh
Kakinada,2018-05-16,81.42,Andhra Pradesh
Kakinada,2018-05-17,81.65,Andhra Pradesh
Kakinada,2018-05-18,81.11,Andhra Pradesh
Kakinada,2018-05-21,82.93,Andhra Pradesh
Kakinada,2018-05-22,83.24,Andhra Pradesh
Kakinada,2018-05-23,83.55,Andhra Pradesh
Kakinada,2018-05-24,83.86,Andhra Pradesh
Kakinada,2018-05-25,84.23,Andhra Pradesh
Kakinada,2018-05-26,84.38,Andhra Pradesh
Kakinada,2018-05-27,84.53,Andhra Pradesh
Kakinada,2018-05-28,84.68,Andhra Pradesh
Kakinada,2018-05-29,84.85,Andhra Pradesh
Kakinada,2018-05-31,84.77,Andhra Pradesh
Kakinada,2018-06-01,84.7,Andhra Pradesh
Kakinada,2018-06-02,84.61,Andhra Pradesh
Kakinada,2018-06-03,84.52,Andhra Pradesh
Kakinada,2018-06-04,84.37,Andhra Pradesh
Kakinada,2018-06-05,84.23,Andhra Pradesh
Kakinada,2018-06-06,84.12,Andhra Pradesh
Kakinada,2018-06-07,84.03,Andhra Pradesh
