city,date,rate,district
Kurnool,2016-04-05,67.57,Andhra Pradesh
Kurnool,2016-04-16,66.81,Andhra Pradesh
Kurnool,2016-05-01,67.9,Andhra Pradesh
Kurnool,2016-05-17,68.75,Andhra Pradesh
Kurnool,2016-06-01,71.41,Andhra Pradesh
Kurnool,2016-06-15,71.51,Andhra Pradesh
Kurnool,2016-07-01,70.58,Andhra Pradesh
Kurnool,2016-07-15,68.27,Andhra Pradesh
Kurnool,2016-08-01,66.86,Andhra Pradesh
Kurnool,2016-08-15,65.88,Andhra Pradesh
Kurnool,2016-09-01,69.36,Andhra Pradesh
Kurnool,2016-09-15,70.15,Andhra Pradesh
Kurnool,2016-10-01,70.53,Andhra Pradesh
Kurnool,2016-10-05,70.64,Andhra Pradesh
Kurnool,2016-10-15,72.42,Andhra Pradesh
Kurnool,2016-11-06,73.74,Andhra Pradesh
Kurnool,2016-11-16,71.96,Andhra Pradesh
Kurnool,2016-12-01,72.14,Andhra Pradesh
Kurnool,2016-12-17,75.07,Andhra Pradesh
Kurnool,2017-01-01,76.78,Andhra Pradesh
Kurnool,2017-01-16,77.33,Andhra Pradesh
Kurnool,2017-04-01,72.91,Andhra Pradesh
Kurnool,2017-04-16,74.75,Andhra Pradesh
Kurnool,2017-05-01,74.76,Andhra Pradesh
Kurnool,2017-05-16,71.93,Andhra Pradesh
Kurnool,2017-06-01,73.56,Andhra Pradesh
Kurnool,2017-06-16,71.79,Andhra Pradesh
Kurnool,2017-06-19,70.93,Andhra Pradesh
Kurnool,2017-06-21,70.83,Andhra Pradesh
Kurnool,2017-06-26,69.8,Andhra Pradesh
Kurnool,2017-06-30,69.55,Andhra Pradesh
Kurnool,2017-07-03,69.36,Andhra Pradesh
Kurnool,2017-07-10,70.08,Andhra Pradesh
Kurnool,2017-07-13,77.47,Andhra Pradesh
Kurnool,2017-07-17,70.44,Andhra Pradesh
Kurnool,2017-07-24,70.83,Andhra Pradesh
Kurnool,2017-08-01,71.49,Andhra Pradesh
Kurnool,2017-08-07,72.78,Andhra Pradesh
Kurnool,2017-08-14,74.11,Andhra Pradesh
Kurnool,2017-08-21,74.72,Andhra Pradesh
Kurnool,2017-08-28,75.28,Andhra Pradesh
Kurnool,2017-09-04,75.8,Andhra Pradesh
Kurnool,2017-09-11,76.49,Andhra Pradesh
Kurnool,2017-09-19,76.71,Andhra Pradesh
Kurnool,2017-09-25,76.6,Andhra Pradesh
Kurnool,2017-10-03,77.07,Andhra Pradesh
Kurnool,2017-10-04,74.52,Andhra Pradesh
Kurnool,2017-10-09,74.57,Andhra Pradesh
Kurnool,2017-10-16,74.41,Andhra Pradesh
Kurnool,2017-10-24,74.72,Andhra Pradesh
Kurnool,2017-10-30,75.21,Andhra Pradesh
Kurnool,2017-11-06,75.92,Andhra Pradesh
Kurnool,2017-11-13,75.99,Andhra Pradesh
Kurnool,2017-11-20,75.71,Andhra Pradesh
Kurnool,2017-11-27,75.47,Andhra Pradesh
Kurnool,2017-12-05,75.44,Andhra Pradesh
Kurnool,2017-12-11,75.31,Andhra Pradesh
Kurnool,2017-12-18,75.38,Andhra Pradesh
Kurnool,2017-12-26,75.83,Andhra Pradesh
Kurnool,2018-01-01,76.18,Andhra Pradesh
Kurnool,2018-01-02,76.65,Andhra Pradesh
Kurnool,2018-01-05,76.2,Andhra Pradesh
Kurnool,2018-01-08,76.65,Andhra Pradesh
Kurnool,2018-01-09,76.7,Andhra Pradesh
Kurnool,2018-01-10,76.77,Andhra Pradesh
Kurnool,2018-01-11,76.81,Andhra Pradesh
Kurnool,2018-01-12,76.87,Andhra Pradesh
Kurnool,2018-01-15,77.33,Andhra Pradesh
Kurnool,2018-01-16,77.42,Andhra Pradesh
Kurnool,2018-01-17,77.54,Andhra Pradesh
Kurnool,2018-01-18,77.72,Andhra Pradesh
Kurnool,2018-01-19,77.86,Andhra Pradesh
Kurnool,2018-01-22,78.41,Andhra Pradesh
Kurnool,2018-01-23,78.56,Andhra Pradesh
Kurnool,2018-01-24,78.61,Andhra Pradesh
Kurnool,2018-01-25,78.68,Andhra Pradesh
Kurnool,2018-01-29,79.04,Andhra Pradesh
Kurnool,2018-01-30,79.12,Andhra Pradesh
Kurnool,2018-02-01,79.25,Andhra Pradesh
Kurnool,2018-02-02,79.3,Andhra Pradesh
Kurnool,2018-02-05,79.52,Andhra Pradesh
Kurnool,2018-02-06,79.59,Andhra Pradesh
Kurnool,2018-02-08,79.58,Andhra Pradesh
Kurnool,2018-02-09,79.56,Andhra Pradesh
Kurnool,2018-02-12,79.21,Andhra Pradesh
Kurnool,2018-02-13,79.14,Andhra Pradesh
Kurnool,2018-02-15,78.98,Andhra Pradesh
Kurnool,2018-02-16,78.71,Andhra Pradesh
Kurnool,2018-02-19,78.09,Andhra Pradesh
Kurnool,2018-02-20,77.89,Andhra Pradesh
Kurnool,2018-02-21,77.88,Andhra Pradesh
Kurnool,2018-02-22,77.86,Andhra Pradesh
Kurnool,2018-02-23,77.77,Andhra Pradesh
Kurnool,2018-02-26,77.69,Andhra Pradesh
Kurnool,2018-02-27,77.67,Andhra Pradesh
Kurnool,2018-03-01,77.8,Andhra Pradesh
Kurnool,2018-03-02,77.99,Andhra Pradesh
Kurnool,2018-03-05,78.57,Andhra Pradesh
Kurnool,2018-03-06,78.65,Andhra Pradesh
Kurnool,2018-03-09,78.69,Andhra Pradesh
Kurnool,2018-03-12,78.71,Andhra Pradesh
Kurnool,2018-03-13,78.73,Andhra Pradesh
Kurnool,2018-03-15,78.71,Andhra Pradesh
Kurnool,2018-03-16,78.63,Andhra Pradesh
Kurnool,2018-03-19,78.44,Andhra Pradesh
Kurnool,2018-03-20,78.45,Andhra Pradesh
Kurnool,2018-03-22,78.51,Andhra Pradesh
Kurnool,2018-03-23,78.55,Andhra Pradesh
Kurnool,2018-03-26,79.06,Andhra Pradesh
Kurnool,2018-03-27,79.17,Andhra Pradesh
Kurnool,2018-03-29,79.36,Andhra Pradesh
Kurnool,2018-03-30,79.59,Andhra Pradesh
Kurnool,2018-04-02,80.1,Andhra Pradesh
Kurnool,2018-04-03,80.24,Andhra Pradesh
Kurnool,2018-04-05,80.27,Andhra Pradesh
Kurnool,2018-04-09,80.28,Andhra Pradesh
Kurnool,2018-04-10,80.27,Andhra Pradesh
Kurnool,2018-04-12,80.23,Andhra Pradesh
Kurnool,2018-04-13,80.2,Andhra Pradesh
Kurnool,2018-04-16,80.31,Andhra Pradesh
Kurnool,2018-04-19,80.36,Andhra Pradesh
Kurnool,2018-04-20,80.37,Andhra Pradesh
Kurnool,2018-04-23,80.8,Andhra Pradesh
Kurnool,2018-04-24,80.94,Andhra Pradesh
Kurnool,2018-05-15,81.31,Andhra Pradesh
Kurnool,2018-05-16,81.46,Andhra Pradesh
Kurnool,2018-05-17,81.69,Andhra Pradesh
Kurnool,2018-05-18,81.15,Andhra Pradesh
Kurnool,2018-05-21,82.97,Andhra Pradesh
Kurnool,2018-05-22,83.28,Andhra Pradesh
Kurnool,2018-05-23,83.59,Andhra Pradesh
Kurnool,2018-05-24,83.9,Andhra Pradesh
Kurnool,2018-05-25,84.27,Andhra Pradesh
Kurnool,2018-05-26,84.42,Andhra Pradesh
Kurnool,2018-05-27,84.57,Andhra Pradesh
Kurnool,2018-05-28,84.72,Andhra Pradesh
Kurnool,2018-05-29,84.89,Andhra Pradesh
Kurnool,2018-05-31,84.81,Andhra Pradesh
Kurnool,2018-06-01,84.74,Andhra Pradesh
Kurnool,2018-06-02,84.65,Andhra Pradesh
Kurnool,2018-06-03,84.56,Andhra Pradesh
Kurnool,2018-06-04,84.41,Andhra Pradesh
Kurnool,2018-06-05,84.27,Andhra Pradesh
Kurnool,2018-06-06,84.16,Andhra Pradesh
Kurnool,2018-06-07,84.07,Andhra Pradesh
Kurnool,2018-06-08,83.85,Andhra Pradesh
Kurnool,2018-06-09,83.44,Andhra Pradesh
Kurnool,2018-06-10,83.19,Andhra Pradesh
Kurnool,2018-06-11,82.99,Andhra Pradesh
Kurnool,2018-06-12,82.83,Andhra Pradesh
Kurnool,2018-06-15,82.75,Andhra Pradesh
Kurnool,2018-06-19,82.67,Andhra Pradesh
Kurnool,2018-06-21,82.55,Andhra Pradesh
Kurnool,2018-06-22,82.41,Andhra Pradesh
Kurnool,2018-06-23,82.32,Andhra Pradesh
Kurnool,2018-06-24,82.17,Andhra Pradesh
Kurnool,2018-06-25,82.07,Andhra Pradesh
Kurnool,2018-06-26,81.93,Andhra Pradesh
Kurnool,2018-07-05,82.09,Andhra Pradesh
Kurnool,2018-07-06,82.23,Andhra Pradesh
Kurnool,2018-07-09,82.76,Andhra Pradesh
Kurnool,2018-07-10,82.93,Andhra Pradesh
Kurnool,2018-07-12,83.0,Andhra Pradesh
Kurnool,2018-07-13,83.17,Andhra Pradesh
Kurnool,2018-07-16,83.24,Andhra Pradesh
Kurnool,2018-07-20,83.08,Andhra Pradesh
Kurnool,2018-07-23,82.75,Andhra Pradesh
Kurnool,2018-07-24,82.68,Andhra Pradesh
Kurnool,2018-07-30,82.7,Andhra Pradesh
Kurnool,2018-07-31,82.76,Andhra Pradesh
Kurnool,2018-08-02,82.92,Andhra Pradesh
Kurnool,2018-08-03,83.0,Andhra Pradesh
Kurnool,2018-08-06,83.48,Andhra Pradesh
Kurnool,2018-08-07,83.57,Andhra Pradesh
Kurnool,2018-08-13,83.65,Andhra Pradesh
Kurnool,2018-08-16,83.71,Andhra Pradesh
Kurnool,2018-08-20,84.02,Andhra Pradesh
Kurnool,2018-08-21,84.11,Andhra Pradesh
