city,date,rate,district
Machilipatnam,2016-05-01,67.79,Andhra Pradesh
Machilipatnam,2016-05-17,68.84,Andhra Pradesh
Machilipatnam,2016-06-01,71.3,Andhra Pradesh
Machilipatnam,2016-06-15,71.4,Andhra Pradesh
Machilipatnam,2016-07-01,70.45,Andhra Pradesh
Machilipatnam,2016-07-15,68.18,Andhra Pradesh
Machilipatnam,2016-08-01,66.75,Andhra Pradesh
Machilipatnam,2016-08-15,65.78,Andhra Pradesh
Machilipatnam,2016-09-01,69.26,Andhra Pradesh
Machilipatnam,2016-09-15,70.04,Andhra Pradesh
Machilipatnam,2016-10-01,70.42,Andhra Pradesh
Machilipatnam,2016-10-05,70.54,Andhra Pradesh
Machilipatnam,2016-10-15,72.32,Andhra Pradesh
Machilipatnam,2016-11-06,73.63,Andhra Pradesh
Machilipatnam,2016-11-16,71.85,Andhra Pradesh
Machilipatnam,2016-12-01,72.03,Andhra Pradesh
Machilipatnam,2016-12-17,74.96,Andhra Pradesh
Machilipatnam,2017-01-01,76.67,Andhra Pradesh
Machilipatnam,2017-01-16,77.22,Andhra Pradesh
Machilipatnam,2017-02-23,77.02,Andhra Pradesh
Machilipatnam,2017-04-01,72.61,Andhra Pradesh
Machilipatnam,2017-04-16,74.44,Andhra Pradesh
Machilipatnam,2017-05-01,74.45,Andhra Pradesh
Machilipatnam,2017-05-16,71.62,Andhra Pradesh
Machilipatnam,2017-06-01,73.26,Andhra Pradesh
Machilipatnam,2017-06-16,71.65,Andhra Pradesh
Machilipatnam,2017-06-19,70.8,Andhra Pradesh
Machilipatnam,2017-06-21,70.7,Andhra Pradesh
Machilipatnam,2017-06-26,69.67,Andhra Pradesh
Machilipatnam,2017-06-30,69.42,Andhra Pradesh
Machilipatnam,2017-07-03,69.2,Andhra Pradesh
Machilipatnam,2017-07-10,69.93,Andhra Pradesh
Machilipatnam,2017-07-13,77.36,Andhra Pradesh
Machilipatnam,2017-07-17,70.28,Andhra Pradesh
Machilipatnam,2017-07-24,70.67,Andhra Pradesh
Machilipatnam,2017-08-01,71.34,Andhra Pradesh
Machilipatnam,2017-08-07,72.64,Andhra Pradesh
Machilipatnam,2017-08-14,73.96,Andhra Pradesh
Machilipatnam,2017-08-21,74.57,Andhra Pradesh
Machilipatnam,2017-08-28,75.14,Andhra Pradesh
Machilipatnam,2017-09-04,75.65,Andhra Pradesh
Machilipatnam,2017-09-11,76.34,Andhra Pradesh
Machilipatnam,2017-09-19,76.56,Andhra Pradesh
Machilipatnam,2017-09-25,76.45,Andhra Pradesh
Machilipatnam,2017-10-03,76.92,Andhra Pradesh
Machilipatnam,2017-10-04,74.35,Andhra Pradesh
Machilipatnam,2017-10-09,74.42,Andhra Pradesh
Machilipatnam,2017-10-16,74.26,Andhra Pradesh
Machilipatnam,2017-10-24,74.58,Andhra Pradesh
Machilipatnam,2017-10-30,75.06,Andhra Pradesh
Machilipatnam,2017-11-06,75.78,Andhra Pradesh
Machilipatnam,2017-11-13,75.84,Andhra Pradesh
Machilipatnam,2017-11-20,75.57,Andhra Pradesh
Machilipatnam,2017-11-27,75.33,Andhra Pradesh
Machilipatnam,2017-12-05,75.3,Andhra Pradesh
Machilipatnam,2017-12-11,75.17,Andhra Pradesh
Machilipatnam,2017-12-18,75.24,Andhra Pradesh
Machilipatnam,2017-12-26,75.69,Andhra Pradesh
Machilipatnam,2018-01-01,76.04,Andhra Pradesh
Machilipatnam,2018-01-02,76.48,Andhra Pradesh
Machilipatnam,2018-01-05,76.06,Andhra Pradesh
Machilipatnam,2018-01-08,76.51,Andhra Pradesh
Machilipatnam,2018-01-09,76.56,Andhra Pradesh
Machilipatnam,2018-01-10,76.63,Andhra Pradesh
Machilipatnam,2018-01-11,76.67,Andhra Pradesh
Machilipatnam,2018-01-12,76.73,Andhra Pradesh
Machilipatnam,2018-01-15,77.19,Andhra Pradesh
Machilipatnam,2018-01-16,77.28,Andhra Pradesh
Machilipatnam,2018-01-17,77.4,Andhra Pradesh
Machilipatnam,2018-01-18,77.58,Andhra Pradesh
Machilipatnam,2018-01-19,77.72,Andhra Pradesh
Machilipatnam,2018-01-22,78.27,Andhra Pradesh
Machilipatnam,2018-01-23,78.42,Andhra Pradesh
Machilipatnam,2018-01-24,78.47,Andhra Pradesh
