city,date,rate,district
Nellore,2016-05-01,67.99,Andhra Pradesh
Nellore,2016-05-17,68.84,Andhra Pradesh
Nellore,2016-06-01,71.5,Andhra Pradesh
Nellore,2016-06-15,71.6,Andhra Pradesh
Nellore,2016-07-01,70.66,Andhra Pradesh
Nellore,2016-07-15,68.35,Andhra Pradesh
Nellore,2016-08-01,66.96,Andhra Pradesh
Nellore,2016-08-15,65.98,Andhra Pradesh
Nellore,2016-09-01,69.46,Andhra Pradesh
Nellore,2016-09-15,70.25,Andhra Pradesh
Nellore,2016-10-01,70.63,Andhra Pradesh
Nellore,2016-10-05,70.74,Andhra Pradesh
Nellore,2016-10-15,72.53,Andhra Pradesh
Nellore,2016-11-06,73.86,Andhra Pradesh
Nellore,2016-11-16,72.08,Andhra Pradesh
Nellore,2016-12-01,72.26,Andhra Pradesh
Nellore,2016-12-17,75.19,Andhra Pradesh
Nellore,2017-01-01,76.89,Andhra Pradesh
Nellore,2017-01-16,77.45,Andhra Pradesh
Nellore,2017-02-23,77.16,Andhra Pradesh
Nellore,2017-04-01,72.76,Andhra Pradesh
Nellore,2017-04-16,74.59,Andhra Pradesh
Nellore,2017-05-01,74.6,Andhra Pradesh
Nellore,2017-05-16,71.77,Andhra Pradesh
Nellore,2017-06-01,73.4,Andhra Pradesh
Nellore,2017-06-16,71.86,Andhra Pradesh
Nellore,2017-06-19,71.01,Andhra Pradesh
Nellore,2017-06-21,70.9,Andhra Pradesh
Nellore,2017-06-26,69.87,Andhra Pradesh
Nellore,2017-06-30,69.63,Andhra Pradesh
Nellore,2017-07-03,69.41,Andhra Pradesh
Nellore,2017-07-10,70.13,Andhra Pradesh
Nellore,2017-07-13,77.54,Andhra Pradesh
Nellore,2017-07-17,70.49,Andhra Pradesh
Nellore,2017-07-24,70.88,Andhra Pradesh
Nellore,2017-08-01,71.52,Andhra Pradesh
Nellore,2017-08-07,72.82,Andhra Pradesh
Nellore,2017-08-14,74.14,Andhra Pradesh
Nellore,2017-08-21,74.75,Andhra Pradesh
Nellore,2017-08-28,75.32,Andhra Pradesh
Nellore,2017-09-04,75.83,Andhra Pradesh
