city,date,rate,district
Ongole,2016-05-01,67.22,Andhra Pradesh
Ongole,2016-05-17,68.07,Andhra Pradesh
Ongole,2016-06-01,70.72,Andhra Pradesh
Ongole,2016-06-15,70.83,Andhra Pradesh
Ongole,2016-07-01,69.91,Andhra Pradesh
Ongole,2016-07-15,67.59,Andhra Pradesh
Ongole,2016-08-01,66.13,Andhra Pradesh
Ongole,2016-08-15,65.15,Andhra Pradesh
Ongole,2016-09-01,68.63,Andhra Pradesh
Ongole,2016-09-15,69.42,Andhra Pradesh
Ongole,2016-10-01,69.8,Andhra Pradesh
Ongole,2016-10-05,69.91,Andhra Pradesh
Ongole,2016-10-15,71.7,Andhra Pradesh
Ongole,2016-11-06,72.98,Andhra Pradesh
Ongole,2016-11-16,71.2,Andhra Pradesh
Ongole,2016-12-01,71.38,Andhra Pradesh
Ongole,2016-12-17,74.31,Andhra Pradesh
Ongole,2017-01-01,76.02,Andhra Pradesh
Ongole,2017-01-16,76.57,Andhra Pradesh
Ongole,2017-02-23,76.32,Andhra Pradesh
Ongole,2017-04-01,71.88,Andhra Pradesh
Ongole,2017-04-16,73.71,Andhra Pradesh
Ongole,2017-05-01,73.73,Andhra Pradesh
Ongole,2017-05-16,70.9,Andhra Pradesh
Ongole,2017-06-01,72.54,Andhra Pradesh
Ongole,2017-06-16,70.96,Andhra Pradesh
Ongole,2017-06-19,70.11,Andhra Pradesh
Ongole,2017-06-21,70.0,Andhra Pradesh
Ongole,2017-06-26,68.97,Andhra Pradesh
Ongole,2017-06-30,68.73,Andhra Pradesh
Ongole,2017-07-03,68.5,Andhra Pradesh
Ongole,2017-07-10,69.22,Andhra Pradesh
Ongole,2017-07-13,76.56,Andhra Pradesh
Ongole,2017-07-17,69.58,Andhra Pradesh
Ongole,2017-07-24,69.97,Andhra Pradesh
Ongole,2017-08-01,70.66,Andhra Pradesh
Ongole,2017-08-07,71.96,Andhra Pradesh
Ongole,2017-08-14,73.29,Andhra Pradesh
Ongole,2017-08-21,73.9,Andhra Pradesh
Ongole,2017-08-28,74.46,Andhra Pradesh
Ongole,2017-09-04,74.98,Andhra Pradesh
Ongole,2017-09-11,75.66,Andhra Pradesh
Ongole,2017-09-19,75.89,Andhra Pradesh
Ongole,2017-09-25,75.77,Andhra Pradesh
Ongole,2017-10-03,76.24,Andhra Pradesh
Ongole,2017-10-04,73.7,Andhra Pradesh
Ongole,2017-10-09,73.75,Andhra Pradesh
Ongole,2017-10-16,73.58,Andhra Pradesh
Ongole,2017-10-24,73.9,Andhra Pradesh
Ongole,2017-10-30,74.39,Andhra Pradesh
Ongole,2017-11-06,75.12,Andhra Pradesh
Ongole,2017-11-13,75.18,Andhra Pradesh
Ongole,2017-11-20,74.91,Andhra Pradesh
Ongole,2017-11-27,74.67,Andhra Pradesh
Ongole,2017-12-05,74.64,Andhra Pradesh
Ongole,2017-12-11,74.5,Andhra Pradesh
Ongole,2017-12-18,74.58,Andhra Pradesh
Ongole,2017-12-26,75.03,Andhra Pradesh
Ongole,2018-01-01,75.38,Andhra Pradesh
Ongole,2018-01-02,75.72,Andhra Pradesh
Ongole,2018-01-05,75.4,Andhra Pradesh
Ongole,2018-01-08,75.84,Andhra Pradesh
Ongole,2018-01-09,75.9,Andhra Pradesh
Ongole,2018-01-10,75.97,Andhra Pradesh
Ongole,2018-01-11,76.01,Andhra Pradesh
Ongole,2018-01-12,76.07,Andhra Pradesh
Ongole,2018-01-15,76.52,Andhra Pradesh
Ongole,2018-01-16,76.62,Andhra Pradesh
