city,date,rate,district
Itanagar,2012-05-24,72.32,Arunachal Pradesh
Itanagar,2012-06-03,70.3,Arunachal Pradesh
Itanagar,2012-06-29,67.35,Arunachal Pradesh
Itanagar,2012-07-24,68.19,Arunachal Pradesh
Itanagar,2012-10-09,67.52,Arunachal Pradesh
Itanagar,2012-10-27,67.87,Arunachal Pradesh
Itanagar,2012-11-01,67.89,Arunachal Pradesh
Itanagar,2012-11-16,66.75,Arunachal Pradesh
Itanagar,2013-01-18,66.46,Arunachal Pradesh
Itanagar,2013-02-16,68.26,Arunachal Pradesh
Itanagar,2013-03-02,69.94,Arunachal Pradesh
Itanagar,2013-03-16,67.54,Arunachal Pradesh
Itanagar,2013-04-02,66.52,Arunachal Pradesh
Itanagar,2013-04-16,65.32,Arunachal Pradesh
Itanagar,2013-05-01,62.32,Arunachal Pradesh
Itanagar,2013-06-01,63.22,Arunachal Pradesh
Itanagar,2013-06-16,65.62,Arunachal Pradesh
Itanagar,2013-06-29,67.81,Arunachal Pradesh
Itanagar,2013-07-15,69.66,Arunachal Pradesh
Itanagar,2013-08-01,70.5,Arunachal Pradesh
Itanagar,2013-09-01,73.32,Arunachal Pradesh
Itanagar,2013-09-14,75.28,Arunachal Pradesh
Itanagar,2013-10-01,71.62,Arunachal Pradesh
Itanagar,2013-11-01,70.24,Arunachal Pradesh
Itanagar,2013-12-21,70.72,Arunachal Pradesh
Itanagar,2014-01-04,71.64,Arunachal Pradesh
Itanagar,2014-03-01,72.36,Arunachal Pradesh
Itanagar,2014-04-01,71.46,Arunachal Pradesh
Itanagar,2014-04-16,70.62,Arunachal Pradesh
Itanagar,2014-06-07,70.72,Arunachal Pradesh
Itanagar,2014-06-25,70.77,Arunachal Pradesh
Itanagar,2014-07-01,72.82,Arunachal Pradesh
Itanagar,2014-08-01,71.73,Arunachal Pradesh
Itanagar,2014-08-15,69.55,Arunachal Pradesh
Itanagar,2014-08-31,67.73,Arunachal Pradesh
Itanagar,2014-10-01,67.08,Arunachal Pradesh
Itanagar,2014-10-15,65.87,Arunachal Pradesh
Itanagar,2014-11-01,63.46,Arunachal Pradesh
Itanagar,2014-12-01,62.56,Arunachal Pradesh
Itanagar,2014-12-16,60.56,Arunachal Pradesh
Itanagar,2015-01-17,58.13,Arunachal Pradesh
Itanagar,2015-02-04,55.79,Arunachal Pradesh
Itanagar,2015-02-16,56.71,Arunachal Pradesh
Itanagar,2015-03-01,60.04,Arunachal Pradesh
Itanagar,2015-04-02,59.5,Arunachal Pradesh
Itanagar,2015-04-15,58.7,Arunachal Pradesh
Itanagar,2015-05-01,62.66,Arunachal Pradesh
Itanagar,2015-05-16,65.78,Arunachal Pradesh
Itanagar,2015-06-16,66.48,Arunachal Pradesh
Itanagar,2015-07-01,66.21,Arunachal Pradesh
Itanagar,2015-07-15,63.83,Arunachal Pradesh
Itanagar,2015-08-01,61.5,Arunachal Pradesh
Itanagar,2015-08-15,60.29,Arunachal Pradesh
Itanagar,2015-09-01,58.37,Arunachal Pradesh
Itanagar,2015-11-01,57.87,Arunachal Pradesh
Itanagar,2015-11-16,58.21,Arunachal Pradesh
Itanagar,2015-12-01,57.66,Arunachal Pradesh
Itanagar,2015-12-16,57.17,Arunachal Pradesh
Itanagar,2016-01-01,56.56,Arunachal Pradesh
Itanagar,2016-01-16,56.26,Arunachal Pradesh
Itanagar,2016-02-01,56.23,Arunachal Pradesh
Itanagar,2016-02-17,56.92,Arunachal Pradesh
Itanagar,2016-03-01,55.92,Arunachal Pradesh
Itanagar,2016-03-09,53.07,Arunachal Pradesh
Itanagar,2016-03-17,55.98,Arunachal Pradesh
