city,date,rate,district
Barpeta,2016-05-01,61.29,Assam
Barpeta,2016-05-17,62.12,Assam
Barpeta,2016-06-01,64.7,Assam
Barpeta,2016-06-15,64.75,Assam
Barpeta,2016-07-01,63.84,Assam
Barpeta,2016-07-15,62.8,Assam
Barpeta,2016-08-01,61.69,Assam
Barpeta,2016-08-15,63.14,Assam
Barpeta,2016-09-01,66.15,Assam
Barpeta,2016-09-15,66.93,Assam
Barpeta,2016-10-01,67.31,Assam
Barpeta,2016-10-05,67.43,Assam
Barpeta,2016-10-15,69.19,Assam
Barpeta,2016-11-06,70.37,Assam
Barpeta,2016-11-16,68.62,Assam
Barpeta,2016-12-01,68.79,Assam
Barpeta,2016-12-17,71.69,Assam
Barpeta,2017-01-01,73.38,Assam
Barpeta,2017-01-16,73.95,Assam
Barpeta,2017-04-01,69.6,Assam
Barpeta,2017-04-16,71.43,Assam
Barpeta,2017-05-01,71.45,Assam
Barpeta,2017-05-16,68.69,Assam
Barpeta,2017-06-01,70.33,Assam
Barpeta,2017-06-16,68.57,Assam
Barpeta,2017-06-19,67.71,Assam
Barpeta,2017-06-21,67.6,Assam
Barpeta,2017-06-26,66.56,Assam
Barpeta,2017-06-30,66.31,Assam
Barpeta,2017-07-03,66.09,Assam
Barpeta,2017-07-10,66.82,Assam
Barpeta,2017-07-13,73.09,Assam
Barpeta,2017-07-17,67.15,Assam
Barpeta,2017-07-24,67.55,Assam
Barpeta,2017-08-01,68.27,Assam
Barpeta,2017-08-07,68.7,Assam
Barpeta,2017-08-14,70.08,Assam
Barpeta,2017-08-21,70.69,Assam
Barpeta,2017-08-28,71.26,Assam
Barpeta,2017-09-04,71.79,Assam
Barpeta,2017-09-11,72.51,Assam
Barpeta,2017-09-19,72.73,Assam
Barpeta,2017-09-25,72.62,Assam
Barpeta,2017-10-03,73.1,Assam
Barpeta,2017-10-04,70.52,Assam
Barpeta,2017-10-09,70.57,Assam
Barpeta,2017-10-16,70.4,Assam
Barpeta,2017-10-24,70.73,Assam
Barpeta,2017-10-30,71.21,Assam
Barpeta,2017-11-06,71.94,Assam
Barpeta,2017-11-13,72.01,Assam
Barpeta,2017-11-20,71.73,Assam
Barpeta,2017-11-27,71.49,Assam
Barpeta,2017-12-05,71.46,Assam
Barpeta,2017-12-11,71.32,Assam
Barpeta,2017-12-18,71.39,Assam
Barpeta,2017-12-26,71.85,Assam
Barpeta,2018-01-01,72.21,Assam
Barpeta,2018-01-02,72.12,Assam
Barpeta,2018-01-05,72.32,Assam
Barpeta,2018-01-08,72.68,Assam
Barpeta,2018-01-09,72.73,Assam
Barpeta,2018-01-10,72.8,Assam
Barpeta,2018-01-11,72.85,Assam
Barpeta,2018-01-12,72.91,Assam
Barpeta,2018-01-15,73.37,Assam
Barpeta,2018-01-16,73.46,Assam
Barpeta,2018-01-17,73.59,Assam
Barpeta,2018-01-18,73.76,Assam
Barpeta,2018-01-19,73.91,Assam
Barpeta,2018-01-22,74.46,Assam
Barpeta,2018-01-23,74.62,Assam
Barpeta,2018-01-24,74.67,Assam
Barpeta,2018-01-25,74.73,Assam
Barpeta,2018-01-29,75.1,Assam
Barpeta,2018-01-30,75.18,Assam
Barpeta,2018-02-01,75.3,Assam
Barpeta,2018-02-02,75.35,Assam
Barpeta,2018-02-05,75.57,Assam
Barpeta,2018-02-06,75.65,Assam
Barpeta,2018-02-08,75.64,Assam
Barpeta,2018-02-09,75.62,Assam
Barpeta,2018-02-12,75.26,Assam
Barpeta,2018-02-13,75.19,Assam
Barpeta,2018-02-15,75.03,Assam
Barpeta,2018-02-16,74.75,Assam
Barpeta,2018-02-19,74.12,Assam
Barpeta,2018-02-20,73.93,Assam
Barpeta,2018-02-21,73.92,Assam
Barpeta,2018-02-22,73.9,Assam
Barpeta,2018-02-23,73.8,Assam
Barpeta,2018-02-26,73.72,Assam
Barpeta,2018-02-27,73.7,Assam
Barpeta,2018-03-01,73.83,Assam
Barpeta,2018-03-02,74.02,Assam
Barpeta,2018-03-05,74.62,Assam
Barpeta,2018-03-06,74.69,Assam
Barpeta,2018-03-09,74.73,Assam
Barpeta,2018-03-12,74.75,Assam
Barpeta,2018-03-13,74.77,Assam
Barpeta,2018-03-15,74.75,Assam
Barpeta,2018-03-16,74.67,Assam
Barpeta,2018-03-19,74.48,Assam
Barpeta,2018-03-20,74.49,Assam
Barpeta,2018-03-22,74.55,Assam
Barpeta,2018-03-23,74.6,Assam
Barpeta,2018-03-26,75.11,Assam
Barpeta,2018-03-27,75.22,Assam
Barpeta,2018-03-29,75.41,Assam
Barpeta,2018-03-30,75.65,Assam
Barpeta,2018-04-02,76.16,Assam
Barpeta,2018-04-03,76.3,Assam
Barpeta,2018-04-05,76.33,Assam
Barpeta,2018-04-09,76.34,Assam
Barpeta,2018-04-10,76.33,Assam
Barpeta,2018-04-12,76.29,Assam
Barpeta,2018-04-13,76.26,Assam
Barpeta,2018-04-16,76.37,Assam
Barpeta,2018-04-19,76.43,Assam
Barpeta,2018-04-20,76.44,Assam
Barpeta,2018-04-23,76.87,Assam
Barpeta,2018-04-24,77.01,Assam
Barpeta,2018-05-14,77.17,Assam
Barpeta,2018-05-15,77.33,Assam
Barpeta,2018-05-16,77.49,Assam
Barpeta,2018-05-17,77.72,Assam
Barpeta,2018-05-18,77.17,Assam
Barpeta,2018-05-21,79.02,Assam
Barpeta,2018-05-22,79.33,Assam
Barpeta,2018-05-23,79.64,Assam
Barpeta,2018-05-24,79.96,Assam
Barpeta,2018-05-25,80.33,Assam
Barpeta,2018-05-26,80.48,Assam
Barpeta,2018-05-27,80.63,Assam
Barpeta,2018-05-28,80.79,Assam
Barpeta,2018-05-29,80.96,Assam
Barpeta,2018-05-31,80.87,Assam
Barpeta,2018-06-01,80.81,Assam
Barpeta,2018-06-02,80.72,Assam
Barpeta,2018-06-03,80.62,Assam
Barpeta,2018-06-04,80.47,Assam
Barpeta,2018-06-05,80.33,Assam
Barpeta,2018-06-06,80.22,Assam
Barpeta,2018-06-07,80.12,Assam
Barpeta,2018-06-08,79.9,Assam
Barpeta,2018-06-09,79.49,Assam
Barpeta,2018-06-10,79.24,Assam
Barpeta,2018-06-11,79.04,Assam
Barpeta,2018-06-12,78.89,Assam
Barpeta,2018-06-15,78.8,Assam
Barpeta,2018-06-19,78.72,Assam
Barpeta,2018-06-21,78.61,Assam
Barpeta,2018-06-22,78.47,Assam
Barpeta,2018-06-23,78.38,Assam
Barpeta,2018-06-24,78.24,Assam
Barpeta,2018-06-25,78.14,Assam
Barpeta,2018-06-26,77.99,Assam
Barpeta,2018-07-05,78.16,Assam
Barpeta,2018-07-06,78.31,Assam
Barpeta,2018-07-09,78.84,Assam
Barpeta,2018-07-10,79.02,Assam
Barpeta,2018-07-12,79.08,Assam
Barpeta,2018-07-13,79.26,Assam
Barpeta,2018-07-16,79.34,Assam
Barpeta,2018-07-20,79.17,Assam
Barpeta,2018-07-23,78.84,Assam
Barpeta,2018-07-24,78.77,Assam
Barpeta,2018-07-30,78.79,Assam
Barpeta,2018-07-31,78.85,Assam
Barpeta,2018-08-02,78.99,Assam
Barpeta,2018-08-03,79.06,Assam
Barpeta,2018-08-06,79.55,Assam
Barpeta,2018-08-07,79.65,Assam
Barpeta,2018-08-13,79.73,Assam
Barpeta,2018-08-16,79.78,Assam
Barpeta,2018-08-20,80.1,Assam
Barpeta,2018-08-21,80.19,Assam
Barpeta,2018-08-24,80.29,Assam
Barpeta,2018-08-25,72.02,Assam
Barpeta,2018-08-26,72.11,Assam
Barpeta,2018-08-27,80.54,Assam
Barpeta,2018-08-28,80.68,Assam
Barpeta,2018-08-29,80.82,Assam
Barpeta,2018-08-30,80.94,Assam
Barpeta,2018-08-31,81.17,Assam
