city,date,rate,district
Dibrugarh,2016-05-01,61.32,Assam
Dibrugarh,2016-05-17,62.16,Assam
Dibrugarh,2016-06-01,64.74,Assam
Dibrugarh,2016-06-15,64.79,Assam
Dibrugarh,2016-07-01,63.88,Assam
Dibrugarh,2016-07-15,62.83,Assam
Dibrugarh,2016-08-01,61.72,Assam
Dibrugarh,2016-08-15,63.09,Assam
Dibrugarh,2016-09-01,66.08,Assam
Dibrugarh,2016-09-15,66.86,Assam
Dibrugarh,2016-10-01,67.25,Assam
Dibrugarh,2016-10-05,67.37,Assam
Dibrugarh,2016-10-15,69.12,Assam
Dibrugarh,2016-11-06,70.31,Assam
Dibrugarh,2016-11-16,68.56,Assam
Dibrugarh,2016-12-01,68.73,Assam
Dibrugarh,2016-12-17,71.64,Assam
Dibrugarh,2017-01-01,73.33,Assam
Dibrugarh,2017-01-16,73.88,Assam
Dibrugarh,2017-04-01,69.53,Assam
Dibrugarh,2017-04-16,71.34,Assam
Dibrugarh,2017-05-01,71.36,Assam
Dibrugarh,2017-05-16,68.6,Assam
Dibrugarh,2017-06-01,70.22,Assam
Dibrugarh,2017-06-16,68.56,Assam
Dibrugarh,2017-06-19,67.65,Assam
Dibrugarh,2017-06-21,67.55,Assam
Dibrugarh,2017-06-26,66.51,Assam
Dibrugarh,2017-06-30,66.26,Assam
Dibrugarh,2017-07-03,66.08,Assam
Dibrugarh,2017-07-10,66.81,Assam
Dibrugarh,2017-07-13,73.24,Assam
Dibrugarh,2017-07-17,67.14,Assam
Dibrugarh,2017-07-24,67.54,Assam
Dibrugarh,2017-08-01,68.25,Assam
Dibrugarh,2017-08-07,68.67,Assam
Dibrugarh,2017-08-14,70.05,Assam
Dibrugarh,2017-08-21,70.67,Assam
Dibrugarh,2017-08-28,71.24,Assam
Dibrugarh,2017-09-04,71.76,Assam
Dibrugarh,2017-09-11,72.49,Assam
Dibrugarh,2017-09-19,72.71,Assam
Dibrugarh,2017-09-25,72.6,Assam
Dibrugarh,2017-10-03,73.07,Assam
Dibrugarh,2017-10-04,70.5,Assam
Dibrugarh,2017-10-09,70.55,Assam
Dibrugarh,2017-10-16,70.38,Assam
Dibrugarh,2017-10-24,70.7,Assam
Dibrugarh,2017-10-30,71.19,Assam
Dibrugarh,2017-11-06,71.91,Assam
Dibrugarh,2017-11-13,71.98,Assam
Dibrugarh,2017-11-20,71.7,Assam
Dibrugarh,2017-11-27,71.46,Assam
Dibrugarh,2017-12-05,71.43,Assam
Dibrugarh,2017-12-11,71.29,Assam
Dibrugarh,2017-12-18,71.36,Assam
Dibrugarh,2017-12-26,71.82,Assam
Dibrugarh,2018-01-01,72.18,Assam
Dibrugarh,2018-01-02,72.41,Assam
Dibrugarh,2018-01-05,72.2,Assam
Dibrugarh,2018-01-08,72.65,Assam
Dibrugarh,2018-01-09,72.7,Assam
Dibrugarh,2018-01-10,72.77,Assam
Dibrugarh,2018-01-11,72.81,Assam
Dibrugarh,2018-01-12,72.88,Assam
Dibrugarh,2018-01-15,73.34,Assam
Dibrugarh,2018-01-16,73.43,Assam
Dibrugarh,2018-01-17,73.55,Assam
Dibrugarh,2018-01-18,73.73,Assam
Dibrugarh,2018-01-19,73.88,Assam
Dibrugarh,2018-01-22,74.43,Assam
Dibrugarh,2018-01-23,74.59,Assam
Dibrugarh,2018-01-24,74.64,Assam
Dibrugarh,2018-01-25,74.7,Assam
Dibrugarh,2018-01-29,75.07,Assam
Dibrugarh,2018-01-30,75.15,Assam
Dibrugarh,2018-02-01,75.3,Assam
Dibrugarh,2018-02-02,75.35,Assam
Dibrugarh,2018-02-05,75.57,Assam
Dibrugarh,2018-02-06,75.64,Assam
Dibrugarh,2018-02-08,75.63,Assam
Dibrugarh,2018-02-09,75.61,Assam
Dibrugarh,2018-02-12,75.26,Assam
Dibrugarh,2018-02-13,75.18,Assam
Dibrugarh,2018-02-15,75.03,Assam
Dibrugarh,2018-02-16,74.74,Assam
Dibrugarh,2018-02-19,74.12,Assam
Dibrugarh,2018-02-20,73.92,Assam
Dibrugarh,2018-02-21,73.91,Assam
Dibrugarh,2018-02-22,73.89,Assam
Dibrugarh,2018-02-23,73.8,Assam
Dibrugarh,2018-02-26,73.71,Assam
Dibrugarh,2018-02-27,73.69,Assam
Dibrugarh,2018-03-01,73.83,Assam
Dibrugarh,2018-03-02,74.02,Assam
Dibrugarh,2018-03-05,74.61,Assam
Dibrugarh,2018-03-06,74.68,Assam
Dibrugarh,2018-03-09,74.73,Assam
Dibrugarh,2018-03-12,74.75,Assam
Dibrugarh,2018-03-13,74.77,Assam
Dibrugarh,2018-03-15,74.75,Assam
Dibrugarh,2018-03-16,74.66,Assam
Dibrugarh,2018-03-19,74.48,Assam
Dibrugarh,2018-03-20,74.49,Assam
Dibrugarh,2018-03-22,74.55,Assam
Dibrugarh,2018-03-23,74.59,Assam
Dibrugarh,2018-03-26,75.1,Assam
Dibrugarh,2018-03-27,75.22,Assam
Dibrugarh,2018-03-29,75.4,Assam
Dibrugarh,2018-03-30,75.64,Assam
Dibrugarh,2018-04-02,76.12,Assam
Dibrugarh,2018-04-03,76.26,Assam
Dibrugarh,2018-04-05,76.29,Assam
Dibrugarh,2018-04-09,76.3,Assam
Dibrugarh,2018-04-10,76.29,Assam
Dibrugarh,2018-04-12,76.25,Assam
Dibrugarh,2018-04-13,76.21,Assam
Dibrugarh,2018-04-16,76.33,Assam
Dibrugarh,2018-04-19,76.38,Assam
Dibrugarh,2018-04-20,76.39,Assam
Dibrugarh,2018-04-23,76.83,Assam
Dibrugarh,2018-04-24,76.96,Assam
Dibrugarh,2018-05-14,77.16,Assam
Dibrugarh,2018-05-15,77.31,Assam
Dibrugarh,2018-05-16,77.47,Assam
Dibrugarh,2018-05-17,77.7,Assam
Dibrugarh,2018-05-18,77.16,Assam
Dibrugarh,2018-05-21,79.0,Assam
Dibrugarh,2018-05-22,79.32,Assam
Dibrugarh,2018-05-23,79.63,Assam
Dibrugarh,2018-05-24,79.94,Assam
Dibrugarh,2018-05-25,80.32,Assam
Dibrugarh,2018-05-26,80.46,Assam
Dibrugarh,2018-05-27,80.62,Assam
Dibrugarh,2018-05-28,80.77,Assam
Dibrugarh,2018-05-29,80.94,Assam
Dibrugarh,2018-05-31,80.86,Assam
Dibrugarh,2018-06-01,80.8,Assam
Dibrugarh,2018-06-02,80.7,Assam
Dibrugarh,2018-06-03,80.61,Assam
Dibrugarh,2018-06-04,80.45,Assam
Dibrugarh,2018-06-05,80.32,Assam
Dibrugarh,2018-06-06,80.2,Assam
Dibrugarh,2018-06-07,80.11,Assam
Dibrugarh,2018-06-08,79.89,Assam
Dibrugarh,2018-06-09,79.47,Assam
Dibrugarh,2018-06-10,79.22,Assam
Dibrugarh,2018-06-11,79.02,Assam
Dibrugarh,2018-06-12,78.87,Assam
Dibrugarh,2018-06-15,78.78,Assam
Dibrugarh,2018-06-19,78.7,Assam
Dibrugarh,2018-06-21,78.59,Assam
Dibrugarh,2018-06-22,78.44,Assam
Dibrugarh,2018-06-23,78.35,Assam
Dibrugarh,2018-06-24,78.21,Assam
Dibrugarh,2018-06-25,78.11,Assam
Dibrugarh,2018-06-26,77.96,Assam
Dibrugarh,2018-07-05,78.13,Assam
Dibrugarh,2018-07-06,78.28,Assam
Dibrugarh,2018-07-09,78.81,Assam
Dibrugarh,2018-07-10,78.99,Assam
Dibrugarh,2018-07-12,79.05,Assam
Dibrugarh,2018-07-13,79.22,Assam
Dibrugarh,2018-07-16,79.31,Assam
Dibrugarh,2018-07-20,79.14,Assam
Dibrugarh,2018-07-23,78.81,Assam
Dibrugarh,2018-07-24,78.73,Assam
Dibrugarh,2018-07-30,78.76,Assam
Dibrugarh,2018-07-31,78.82,Assam
Dibrugarh,2018-08-02,78.95,Assam
Dibrugarh,2018-08-03,79.03,Assam
Dibrugarh,2018-08-06,79.52,Assam
Dibrugarh,2018-08-07,79.61,Assam
Dibrugarh,2018-08-13,79.69,Assam
Dibrugarh,2018-08-16,79.75,Assam
Dibrugarh,2018-08-20,80.06,Assam
Dibrugarh,2018-08-21,80.15,Assam
Dibrugarh,2018-08-24,80.25,Assam
Dibrugarh,2018-08-25,72.18,Assam
Dibrugarh,2018-08-26,72.26,Assam
Dibrugarh,2018-08-27,80.5,Assam
Dibrugarh,2018-08-28,80.64,Assam
Dibrugarh,2018-08-29,80.78,Assam
Dibrugarh,2018-08-30,80.9,Assam
Dibrugarh,2018-08-31,81.13,Assam
Dibrugarh,2018-09-03,82.14,Assam
Dibrugarh,2018-09-04,82.3,Assam
Dibrugarh,2018-09-06,82.51,Assam
Dibrugarh,2018-09-07,83.01,Assam
Dibrugarh,2018-09-10,83.78,Assam
Dibrugarh,2018-09-11,83.93,Assam
Dibrugarh,2018-09-13,84.07,Assam
Dibrugarh,2018-09-14,84.36,Assam
Dibrugarh,2018-09-15,84.72,Assam
Dibrugarh,2018-09-16,85.01,Assam
Dibrugarh,2018-09-17,85.17,Assam
Dibrugarh,2018-09-18,85.28,Assam
Dibrugarh,2018-09-20,85.34,Assam
Dibrugarh,2018-09-21,85.44,Assam
Dibrugarh,2018-09-23,85.73,Assam
Dibrugarh,2018-09-24,85.84,Assam
Dibrugarh,2018-09-25,85.99,Assam
Dibrugarh,2018-09-27,86.14,Assam
Dibrugarh,2018-09-28,86.37,Assam
Dibrugarh,2018-09-30,86.65,Assam
Dibrugarh,2018-10-01,86.88,Assam
Dibrugarh,2018-10-02,86.99,Assam
Dibrugarh,2018-10-04,87.14,Assam
Dibrugarh,2018-10-05,82.01,Assam
Dibrugarh,2018-10-06,82.2,Assam
Dibrugarh,2018-10-07,82.34,Assam
Dibrugarh,2018-10-08,82.56,Assam
Dibrugarh,2018-10-09,82.8,Assam
Dibrugarh,2018-10-11,82.91,Assam
Dibrugarh,2018-10-12,83.03,Assam
Dibrugarh,2018-10-13,83.22,Assam
Dibrugarh,2018-10-14,83.28,Assam
Dibrugarh,2018-10-16,83.4,Assam
Dibrugarh,2018-10-19,82.93,Assam
Dibrugarh,2018-10-20,82.52,Assam
Dibrugarh,2018-10-22,81.95,Assam
Dibrugarh,2018-10-23,81.84,Assam
Dibrugarh,2018-10-24,81.75,Assam
Dibrugarh,2018-10-25,81.59,Assam
Dibrugarh,2018-10-26,81.33,Assam
Dibrugarh,2018-10-29,80.19,Assam
Dibrugarh,2018-10-30,79.98,Assam
Dibrugarh,2018-11-01,79.79,Assam
Dibrugarh,2018-11-02,79.66,Assam
Dibrugarh,2018-11-05,79.04,Assam
Dibrugarh,2018-11-06,78.89,Assam
Dibrugarh,2018-11-12,78.0,Assam
Dibrugarh,2018-11-13,77.86,Assam
Dibrugarh,2018-11-15,77.7,Assam
Dibrugarh,2018-11-16,77.52,Assam
Dibrugarh,2018-11-19,76.91,Assam
Dibrugarh,2018-11-20,76.77,Assam
Dibrugarh,2018-11-22,76.34,Assam
Dibrugarh,2018-11-23,75.92,Assam
Dibrugarh,2018-11-26,74.8,Assam
Dibrugarh,2018-11-27,74.36,Assam
Dibrugarh,2018-11-28,73.84,Assam
Dibrugarh,2018-11-29,73.49,Assam
Dibrugarh,2018-11-30,73.11,Assam
Dibrugarh,2018-12-01,72.74,Assam
Dibrugarh,2018-12-02,72.41,Assam
Dibrugarh,2018-12-03,72.09,Assam
Dibrugarh,2018-12-04,71.87,Assam
Dibrugarh,2018-12-06,71.45,Assam
Dibrugarh,2018-12-07,71.04,Assam
Dibrugarh,2018-12-10,70.4,Assam
Dibrugarh,2018-12-11,70.23,Assam
Dibrugarh,2018-12-13,70.33,Assam
Dibrugarh,2018-12-17,70.58,Assam
Dibrugarh,2018-12-18,70.68,Assam
Dibrugarh,2018-12-21,70.5,Assam
Dibrugarh,2018-12-24,69.88,Assam
Dibrugarh,2018-12-25,69.8,Assam
Dibrugarh,2018-12-27,69.75,Assam
Dibrugarh,2018-12-28,69.55,Assam
Dibrugarh,2018-12-31,68.81,Assam
Dibrugarh,2019-01-02,68.71,Assam
Dibrugarh,2019-01-04,68.49,Assam
Dibrugarh,2019-01-07,68.55,Assam
Dibrugarh,2019-01-10,68.95,Assam
Dibrugarh,2019-01-11,69.15,Assam
Dibrugarh,2019-01-14,70.25,Assam
Dibrugarh,2019-01-16,70.46,Assam
Dibrugarh,2019-01-17,70.61,Assam
Dibrugarh,2019-01-18,70.69,Assam
Dibrugarh,2019-01-21,71.31,Assam
Dibrugarh,2019-01-22,71.44,Assam
Dibrugarh,2019-01-29,71.36,Assam
Dibrugarh,2019-01-31,71.25,Assam
Dibrugarh,2019-02-01,71.02,Assam
Dibrugarh,2019-02-05,70.5,Assam
Dibrugarh,2019-02-08,70.43,Assam
Dibrugarh,2019-02-11,70.38,Assam
Dibrugarh,2019-02-14,70.44,Assam
Dibrugarh,2019-02-15,70.52,Assam
Dibrugarh,2019-02-18,70.99,Assam
Dibrugarh,2019-02-19,71.09,Assam
Dibrugarh,2019-02-22,71.39,Assam
Dibrugarh,2019-02-25,71.69,Assam
Dibrugarh,2019-02-26,71.78,Assam
Dibrugarh,2019-02-28,71.85,Assam
Dibrugarh,2019-03-01,71.96,Assam
Dibrugarh,2019-03-04,72.34,Assam
Dibrugarh,2019-03-05,72.41,Assam
Dibrugarh,2019-03-11,72.64,Assam
Dibrugarh,2019-03-12,72.59,Assam
Dibrugarh,2019-03-14,72.66,Assam
Dibrugarh,2019-03-15,72.73,Assam
Dibrugarh,2019-03-18,72.97,Assam
Dibrugarh,2019-03-21,72.9,Assam
Dibrugarh,2019-03-22,72.95,Assam
Dibrugarh,2019-03-23,73.01,Assam
Dibrugarh,2019-03-24,73.06,Assam
Dibrugarh,2019-03-28,73.01,Assam
Dibrugarh,2019-04-01,73.08,Assam
Dibrugarh,2019-04-05,73.14,Assam
Dibrugarh,2019-04-08,73.07,Assam
Dibrugarh,2019-04-09,73.02,Assam
Dibrugarh,2019-04-12,73.08,Assam
Dibrugarh,2019-04-15,73.21,Assam
Dibrugarh,2019-04-16,73.16,Assam
Dibrugarh,2019-04-20,73.23,Assam
Dibrugarh,2019-04-22,73.18,Assam
Dibrugarh,2019-04-25,73.25,Assam
Dibrugarh,2019-04-27,73.31,Assam
Dibrugarh,2019-04-30,73.37,Assam
Dibrugarh,2019-05-02,73.27,Assam
Dibrugarh,2019-05-04,73.28,Assam
Dibrugarh,2019-05-05,73.22,Assam
Dibrugarh,2019-05-06,73.15,Assam
Dibrugarh,2019-05-09,72.98,Assam
Dibrugarh,2019-05-10,72.76,Assam
Dibrugarh,2019-05-11,72.26,Assam
Dibrugarh,2019-05-12,71.82,Assam
Dibrugarh,2019-05-13,71.51,Assam
Dibrugarh,2019-05-14,71.25,Assam
Dibrugarh,2019-05-17,71.16,Assam
Dibrugarh,2019-05-18,71.09,Assam
Dibrugarh,2019-05-20,71.19,Assam
Dibrugarh,2019-05-21,71.24,Assam
Dibrugarh,2019-05-23,71.32,Assam
Dibrugarh,2019-05-24,71.47,Assam
Dibrugarh,2019-05-25,71.61,Assam
Dibrugarh,2019-05-26,71.76,Assam
Dibrugarh,2019-05-27,71.86,Assam
Dibrugarh,2019-05-28,71.96,Assam
Dibrugarh,2019-05-30,71.89,Assam
Dibrugarh,2019-05-31,71.82,Assam
Dibrugarh,2019-06-01,71.78,Assam
Dibrugarh,2019-06-02,71.66,Assam
Dibrugarh,2019-06-03,71.45,Assam
Dibrugarh,2019-06-04,71.38,Assam
Dibrugarh,2019-06-06,71.21,Assam
Dibrugarh,2019-06-07,71.07,Assam
Dibrugarh,2019-06-10,70.54,Assam
Dibrugarh,2019-06-13,70.46,Assam
Dibrugarh,2019-06-14,70.28,Assam
Dibrugarh,2019-06-15,70.08,Assam
Dibrugarh,2019-06-16,70.02,Assam
Dibrugarh,2019-06-24,70.15,Assam
Dibrugarh,2019-06-27,70.22,Assam
Dibrugarh,2019-06-28,70.27,Assam
Dibrugarh,2019-06-29,70.39,Assam
Dibrugarh,2019-06-30,70.48,Assam
Dibrugarh,2019-07-01,70.58,Assam
Dibrugarh,2019-07-02,70.65,Assam
Dibrugarh,2019-07-06,73.2,Assam
Dibrugarh,2019-07-09,73.14,Assam
Dibrugarh,2019-07-13,73.24,Assam
Dibrugarh,2019-07-14,73.33,Assam
Dibrugarh,2019-07-15,73.47,Assam
Dibrugarh,2019-07-16,73.53,Assam
Dibrugarh,2019-07-18,73.61,Assam
Dibrugarh,2019-07-23,73.68,Assam
Dibrugarh,2019-07-25,73.61,Assam
Dibrugarh,2019-07-26,73.55,Assam
Dibrugarh,2019-07-27,73.5,Assam
Dibrugarh,2019-07-28,73.39,Assam
Dibrugarh,2019-07-29,73.24,Assam
Dibrugarh,2019-07-30,73.1,Assam
Dibrugarh,2019-08-01,73.04,Assam
Dibrugarh,2019-08-02,72.87,Assam
Dibrugarh,2019-08-03,72.8,Assam
Dibrugarh,2019-08-04,72.73,Assam
Dibrugarh,2019-08-05,72.57,Assam
Dibrugarh,2019-08-06,72.48,Assam
Dibrugarh,2019-08-08,72.43,Assam
Dibrugarh,2019-08-09,72.27,Assam
Dibrugarh,2019-08-11,72.18,Assam
Dibrugarh,2019-08-18,72.09,Assam
Dibrugarh,2019-08-19,72.02,Assam
Dibrugarh,2019-08-24,72.1,Assam
Dibrugarh,2019-08-25,72.18,Assam
Dibrugarh,2019-08-26,72.26,Assam
Dibrugarh,2019-08-27,72.26,Assam
Dibrugarh,2019-08-29,72.2,Assam
Dibrugarh,2019-09-02,74.72,Assam
Dibrugarh,2019-09-05,74.69,Assam
Dibrugarh,2019-09-06,74.6,Assam
Dibrugarh,2019-09-07,74.5,Assam
Dibrugarh,2019-09-08,74.44,Assam
Dibrugarh,2019-09-10,74.49,Assam
Dibrugarh,2019-09-12,74.55,Assam
Dibrugarh,2019-09-13,74.63,Assam
Dibrugarh,2019-09-14,74.71,Assam
Dibrugarh,2019-09-15,74.77,Assam
Dibrugarh,2019-09-17,74.92,Assam
Dibrugarh,2019-09-18,75.18,Assam
Dibrugarh,2019-09-19,75.48,Assam
Dibrugarh,2019-09-20,75.85,Assam
Dibrugarh,2019-09-21,76.15,Assam
Dibrugarh,2019-09-22,76.43,Assam
Dibrugarh,2019-09-23,76.73,Assam
Dibrugarh,2019-09-24,76.96,Assam
Dibrugarh,2019-09-26,77.02,Assam
Dibrugarh,2019-09-27,77.18,Assam
Dibrugarh,2019-09-30,77.26,Assam
Dibrugarh,2019-10-01,77.49,Assam
Dibrugarh,2019-10-03,77.38,Assam
Dibrugarh,2019-10-04,77.2,Assam
Dibrugarh,2019-10-05,76.89,Assam
Dibrugarh,2019-10-07,76.6,Assam
Dibrugarh,2019-10-08,76.43,Assam
Dibrugarh,2019-10-10,76.37,Assam
Dibrugarh,2019-10-11,76.25,Assam
Dibrugarh,2019-10-12,76.14,Assam
Dibrugarh,2019-10-15,76.09,Assam
Dibrugarh,2019-10-22,76.04,Assam
Dibrugarh,2019-10-24,75.99,Assam
Dibrugarh,2019-10-25,75.87,Assam
Dibrugarh,2019-10-26,75.79,Assam
Dibrugarh,2019-10-29,75.73,Assam
Dibrugarh,2019-11-01,75.6,Assam
Dibrugarh,2019-11-02,75.52,Assam
Dibrugarh,2019-11-03,75.47,Assam
Dibrugarh,2019-11-04,75.38,Assam
