city,date,rate,district
Araria,2016-04-05,64.66,Bihar
Araria,2016-04-16,64.09,Bihar
Araria,2016-05-01,64.98,Bihar
Araria,2016-05-17,65.79,Bihar
Araria,2016-06-01,68.31,Bihar
Araria,2016-06-15,68.36,Bihar
Araria,2016-07-01,67.47,Bihar
Araria,2016-07-15,65.27,Bihar
Araria,2016-08-01,63.97,Bihar
Araria,2016-08-15,63.73,Bihar
Araria,2016-09-01,67.07,Bihar
Araria,2016-09-15,67.83,Bihar
Araria,2016-10-01,68.2,Bihar
Araria,2016-10-05,68.31,Bihar
Araria,2016-10-15,70.03,Bihar
Araria,2016-11-06,71.25,Bihar
Araria,2016-11-16,69.54,Bihar
Araria,2016-12-01,69.71,Bihar
Araria,2016-12-17,72.53,Bihar
Araria,2017-01-01,74.17,Bihar
Araria,2017-01-16,74.71,Bihar
Araria,2017-04-01,70.48,Bihar
Araria,2017-04-16,72.24,Bihar
Araria,2017-05-01,72.25,Bihar
Araria,2017-05-16,69.53,Bihar
Araria,2017-06-01,71.1,Bihar
Araria,2017-06-16,69.5,Bihar
Araria,2017-06-19,68.68,Bihar
Araria,2017-06-21,68.58,Bihar
Araria,2017-06-26,67.76,Bihar
Araria,2017-06-30,67.35,Bihar
Araria,2017-07-03,67.14,Bihar
Araria,2017-07-10,67.84,Bihar
Araria,2017-07-13,78.26,Bihar
Araria,2017-07-17,69.88,Bihar
Araria,2017-07-24,70.25,Bihar
Araria,2017-08-01,70.88,Bihar
Araria,2017-08-07,72.12,Bihar
Araria,2017-08-14,73.4,Bihar
Araria,2017-08-21,73.99,Bihar
Araria,2017-08-28,74.53,Bihar
Araria,2017-09-04,75.03,Bihar
Araria,2017-09-11,75.66,Bihar
Araria,2017-09-19,75.88,Bihar
Araria,2017-09-25,75.77,Bihar
Araria,2017-10-03,76.22,Bihar
Araria,2017-10-04,73.77,Bihar
Araria,2017-10-09,73.84,Bihar
Araria,2017-10-16,73.69,Bihar
Araria,2017-10-24,73.99,Bihar
Araria,2017-10-30,74.46,Bihar
Araria,2017-11-06,75.15,Bihar
Araria,2017-11-13,75.22,Bihar
Araria,2017-11-20,74.95,Bihar
Araria,2017-11-27,74.72,Bihar
Araria,2017-12-05,74.69,Bihar
Araria,2017-12-11,74.56,Bihar
Araria,2017-12-18,74.63,Bihar
Araria,2017-12-26,75.07,Bihar
Araria,2018-01-01,75.4,Bihar
Araria,2018-01-02,77.65,Bihar
Araria,2018-01-05,75.42,Bihar
Araria,2018-01-08,75.85,Bihar
Araria,2018-01-09,75.9,Bihar
Araria,2018-01-10,75.97,Bihar
Araria,2018-01-11,76.01,Bihar
Araria,2018-01-12,76.07,Bihar
Araria,2018-01-15,76.51,Bihar
Araria,2018-01-16,76.6,Bihar
Araria,2018-01-17,76.71,Bihar
Araria,2018-01-18,76.88,Bihar
Araria,2018-01-19,77.02,Bihar
Araria,2018-01-22,77.55,Bihar
Araria,2018-01-23,77.69,Bihar
Araria,2018-01-24,77.74,Bihar
Araria,2018-01-25,77.8,Bihar
Araria,2018-01-29,78.15,Bihar
Araria,2018-01-30,78.23,Bihar
Araria,2018-02-01,78.38,Bihar
Araria,2018-02-02,78.46,Bihar
Araria,2018-02-05,78.74,Bihar
Araria,2018-02-06,78.84,Bihar
Araria,2018-02-07,78.88,Bihar
Araria,2018-02-08,78.87,Bihar
Araria,2018-02-09,78.86,Bihar
Araria,2018-02-12,78.65,Bihar
Araria,2018-02-13,78.61,Bihar
Araria,2018-02-15,78.51,Bihar
Araria,2018-02-16,78.32,Bihar
Araria,2018-02-19,77.9,Bihar
Araria,2018-02-20,77.79,Bihar
Araria,2018-02-21,77.78,Bihar
Araria,2018-02-23,77.74,Bihar
Araria,2018-03-01,77.91,Bihar
Araria,2018-03-02,78.09,Bihar
Araria,2018-03-05,78.68,Bihar
Araria,2018-03-06,78.77,Bihar
Araria,2018-03-08,78.8,Bihar
Araria,2018-03-09,78.86,Bihar
Araria,2018-03-12,78.97,Bihar
Araria,2018-03-13,79.02,Bihar
Araria,2018-03-16,78.96,Bihar
Araria,2018-03-19,78.78,Bihar
Araria,2018-03-20,78.79,Bihar
Araria,2018-03-22,78.85,Bihar
Araria,2018-03-23,78.89,Bihar
Araria,2018-03-26,79.38,Bihar
Araria,2018-03-27,79.49,Bihar
Araria,2018-03-29,79.67,Bihar
Araria,2018-03-30,79.89,Bihar
Araria,2018-04-02,80.38,Bihar
Araria,2018-04-03,80.51,Bihar
Araria,2018-04-05,80.54,Bihar
Araria,2018-04-09,80.55,Bihar
Araria,2018-04-10,80.54,Bihar
Araria,2018-04-12,80.5,Bihar
Araria,2018-04-13,80.47,Bihar
Araria,2018-04-16,80.59,Bihar
Araria,2018-04-19,80.64,Bihar
Araria,2018-04-20,80.65,Bihar
Araria,2018-04-23,81.06,Bihar
Araria,2018-04-24,81.19,Bihar
Araria,2018-05-14,81.43,Bihar
Araria,2018-05-15,81.58,Bihar
Araria,2018-05-16,81.73,Bihar
Araria,2018-05-17,81.94,Bihar
Araria,2018-05-18,81.43,Bihar
Araria,2018-05-21,83.18,Bihar
Araria,2018-05-22,83.48,Bihar
Araria,2018-05-23,83.78,Bihar
Araria,2018-05-24,84.07,Bihar
Araria,2018-05-25,84.43,Bihar
Araria,2018-05-26,84.57,Bihar
Araria,2018-05-27,84.72,Bihar
Araria,2018-05-28,84.86,Bihar
Araria,2018-05-29,85.02,Bihar
Araria,2018-05-31,84.94,Bihar
Araria,2018-06-01,84.88,Bihar
Araria,2018-06-02,84.8,Bihar
Araria,2018-06-03,84.71,Bihar
Araria,2018-06-04,84.56,Bihar
Araria,2018-06-05,84.43,Bihar
Araria,2018-06-06,84.32,Bihar
Araria,2018-06-07,84.23,Bihar
Araria,2018-06-08,84.02,Bihar
Araria,2018-06-09,83.63,Bihar
Araria,2018-06-10,83.39,Bihar
Araria,2018-06-11,83.19,Bihar
Araria,2018-06-12,83.04,Bihar
Araria,2018-06-15,82.96,Bihar
Araria,2018-06-19,82.88,Bihar
Araria,2018-06-21,82.78,Bihar
Araria,2018-06-22,82.64,Bihar
Araria,2018-06-23,82.55,Bihar
Araria,2018-06-24,82.41,Bihar
Araria,2018-06-25,82.31,Bihar
Araria,2018-06-26,82.17,Bihar
Araria,2018-07-05,82.5,Bihar
Araria,2018-07-06,82.64,Bihar
Araria,2018-07-09,83.15,Bihar
Araria,2018-07-10,83.32,Bihar
Araria,2018-07-12,83.38,Bihar
Araria,2018-07-13,83.54,Bihar
Araria,2018-07-16,83.62,Bihar
Araria,2018-07-20,83.5,Bihar
Araria,2018-07-23,83.28,Bihar
Araria,2018-07-24,83.23,Bihar
Araria,2018-07-30,83.28,Bihar
Araria,2018-07-31,83.34,Bihar
Araria,2018-08-02,83.53,Bihar
Araria,2018-08-03,83.62,Bihar
Araria,2018-08-06,84.08,Bihar
Araria,2018-08-07,84.2,Bihar
Araria,2018-08-13,84.41,Bihar
Araria,2018-08-16,84.5,Bihar
Araria,2018-08-20,84.87,Bihar
Araria,2018-08-21,84.98,Bihar
Araria,2018-08-24,85.11,Bihar
Araria,2018-08-25,76.95,Bihar
Araria,2018-08-26,77.03,Bihar
Araria,2018-08-27,85.41,Bihar
Araria,2018-08-28,85.58,Bihar
Araria,2018-08-29,85.74,Bihar
Araria,2018-08-30,85.88,Bihar
Araria,2018-08-31,86.1,Bihar
