city,date,rate,district
Daman,2016-04-16,59.56,Daman and Diu
Daman,2016-05-01,60.63,Daman and Diu
Daman,2016-05-17,61.38,Daman and Diu
Daman,2016-06-01,63.86,Daman and Diu
Daman,2016-06-15,63.91,Daman and Diu
Daman,2016-07-01,63.04,Daman and Diu
Daman,2016-07-15,60.88,Daman and Diu
Daman,2016-08-01,59.56,Daman and Diu
Daman,2016-08-15,58.6,Daman and Diu
Daman,2016-09-01,61.85,Daman and Diu
Daman,2016-09-15,62.59,Daman and Diu
Daman,2016-10-01,62.94,Daman and Diu
Daman,2016-10-05,63.08,Daman and Diu
Daman,2016-10-15,64.75,Daman and Diu
Daman,2016-11-06,65.91,Daman and Diu
Daman,2016-11-16,64.28,Daman and Diu
Daman,2016-12-01,64.44,Daman and Diu
Daman,2016-12-17,67.18,Daman and Diu
Daman,2017-01-01,68.78,Daman and Diu
Daman,2017-01-16,69.3,Daman and Diu
Daman,2017-04-01,64.66,Daman and Diu
Daman,2017-04-16,66.37,Daman and Diu
Daman,2017-05-01,66.38,Daman and Diu
Daman,2017-05-16,63.74,Daman and Diu
Daman,2017-06-01,65.27,Daman and Diu
Daman,2017-06-16,63.79,Daman and Diu
Daman,2017-06-19,62.99,Daman and Diu
Daman,2017-06-21,62.9,Daman and Diu
Daman,2017-06-22,62.75,Daman and Diu
Daman,2017-06-23,62.54,Daman and Diu
Daman,2017-06-26,61.93,Daman and Diu
Daman,2017-06-27,61.81,Daman and Diu
Daman,2017-06-28,61.85,Daman and Diu
Daman,2017-06-29,61.81,Daman and Diu
Daman,2017-06-30,61.7,Daman and Diu
Daman,2017-07-03,61.51,Daman and Diu
Daman,2017-07-04,61.47,Daman and Diu
Daman,2017-07-06,61.58,Daman and Diu
Daman,2017-07-07,61.71,Daman and Diu
Daman,2017-07-10,62.19,Daman and Diu
Daman,2017-07-11,62.28,Daman and Diu
Daman,2017-07-13,62.26,Daman and Diu
Daman,2017-07-14,62.25,Daman and Diu
Daman,2017-07-17,62.5,Daman and Diu
Daman,2017-07-18,62.55,Daman and Diu
Daman,2017-07-20,62.59,Daman and Diu
Daman,2017-07-21,62.62,Daman and Diu
Daman,2017-07-24,62.86,Daman and Diu
Daman,2017-07-25,62.9,Daman and Diu
Daman,2017-07-27,62.91,Daman and Diu
Daman,2017-07-28,63.01,Daman and Diu
Daman,2017-07-31,63.56,Daman and Diu
Daman,2017-08-01,63.64,Daman and Diu
Daman,2017-08-02,63.71,Daman and Diu
Daman,2017-08-04,64.22,Daman and Diu
Daman,2017-08-07,64.86,Daman and Diu
Daman,2017-08-08,64.94,Daman and Diu
Daman,2017-08-09,65.0,Daman and Diu
Daman,2017-08-10,65.14,Daman and Diu
Daman,2017-08-11,65.44,Daman and Diu
Daman,2017-08-14,66.1,Daman and Diu
Daman,2017-08-16,66.28,Daman and Diu
Daman,2017-08-17,66.38,Daman and Diu
Daman,2017-08-18,66.43,Daman and Diu
Daman,2017-08-21,66.66,Daman and Diu
Daman,2017-08-22,66.78,Daman and Diu
Daman,2017-08-23,66.85,Daman and Diu
Daman,2017-08-24,66.99,Daman and Diu
Daman,2017-08-28,67.19,Daman and Diu
Daman,2017-08-29,67.22,Daman and Diu
Daman,2017-08-31,67.25,Daman and Diu
Daman,2017-09-01,67.36,Daman and Diu
Daman,2017-09-04,67.67,Daman and Diu
Daman,2017-09-05,67.79,Daman and Diu
Daman,2017-09-07,67.88,Daman and Diu
Daman,2017-09-08,67.96,Daman and Diu
Daman,2017-09-11,68.29,Daman and Diu
Daman,2017-09-12,68.43,Daman and Diu
Daman,2017-09-13,68.36,Daman and Diu
Daman,2017-09-14,68.45,Daman and Diu
Daman,2017-09-15,68.48,Daman and Diu
Daman,2017-09-19,68.5,Daman and Diu
Daman,2017-09-20,68.57,Daman and Diu
Daman,2017-09-21,68.5,Daman and Diu
Daman,2017-09-22,68.52,Daman and Diu
Daman,2017-09-25,68.4,Daman and Diu
Daman,2017-09-26,68.47,Daman and Diu
Daman,2017-09-27,68.4,Daman and Diu
Daman,2017-09-28,68.51,Daman and Diu
Daman,2017-09-29,68.61,Daman and Diu
Daman,2017-10-03,68.83,Daman and Diu
Daman,2017-10-04,66.51,Daman and Diu
Daman,2017-10-05,66.43,Daman and Diu
Daman,2017-10-06,66.49,Daman and Diu
Daman,2017-10-09,66.5,Daman and Diu
Daman,2017-10-10,66.58,Daman and Diu
Daman,2017-10-11,66.61,Daman and Diu
Daman,2017-10-12,66.5,Daman and Diu
Daman,2017-10-13,66.56,Daman and Diu
Daman,2017-10-16,66.35,Daman and Diu
Daman,2017-10-17,66.32,Daman and Diu
Daman,2017-10-18,66.4,Daman and Diu
Daman,2017-10-24,66.65,Daman and Diu
Daman,2017-10-25,66.74,Daman and Diu
Daman,2017-10-26,66.77,Daman and Diu
Daman,2017-10-30,67.1,Daman and Diu
Daman,2017-10-31,67.23,Daman and Diu
Daman,2017-11-01,67.22,Daman and Diu
Daman,2017-11-02,67.33,Daman and Diu
Daman,2017-11-03,67.42,Daman and Diu
Daman,2017-11-06,67.79,Daman and Diu
Daman,2017-11-07,67.86,Daman and Diu
Daman,2017-11-09,67.91,Daman and Diu
Daman,2017-11-10,67.94,Daman and Diu
Daman,2017-11-13,67.87,Daman and Diu
Daman,2017-11-14,67.79,Daman and Diu
Daman,2017-11-15,67.74,Daman and Diu
Daman,2017-11-16,67.72,Daman and Diu
Daman,2017-11-17,67.68,Daman and Diu
Daman,2017-11-20,67.61,Daman and Diu
Daman,2017-11-21,67.6,Daman and Diu
Daman,2017-11-22,67.55,Daman and Diu
Daman,2017-11-23,67.5,Daman and Diu
Daman,2017-11-24,67.48,Daman and Diu
Daman,2017-11-27,67.39,Daman and Diu
Daman,2017-11-28,67.34,Daman and Diu
Daman,2017-11-29,67.37,Daman and Diu
Daman,2017-11-30,67.32,Daman and Diu
Daman,2017-12-01,67.3,Daman and Diu
Daman,2017-12-05,67.36,Daman and Diu
Daman,2017-12-06,67.32,Daman and Diu
Daman,2017-12-07,67.31,Daman and Diu
Daman,2017-12-08,67.27,Daman and Diu
Daman,2017-12-11,67.24,Daman and Diu
Daman,2017-12-12,67.18,Daman and Diu
Daman,2017-12-13,67.16,Daman and Diu
Daman,2017-12-15,67.19,Daman and Diu
Daman,2017-12-18,67.31,Daman and Diu
Daman,2017-12-19,67.38,Daman and Diu
Daman,2017-12-20,67.46,Daman and Diu
Daman,2017-12-21,67.49,Daman and Diu
Daman,2017-12-22,67.57,Daman and Diu
Daman,2017-12-26,67.73,Daman and Diu
Daman,2017-12-27,67.78,Daman and Diu
Daman,2017-12-28,67.87,Daman and Diu
Daman,2017-12-29,67.96,Daman and Diu
Daman,2018-01-01,68.06,Daman and Diu
Daman,2018-01-02,68.02,Daman and Diu
Daman,2018-01-03,68.06,Daman and Diu
Daman,2018-01-05,68.08,Daman and Diu
Daman,2018-01-08,68.49,Daman and Diu
Daman,2018-01-09,68.54,Daman and Diu
Daman,2018-01-10,68.61,Daman and Diu
Daman,2018-01-11,68.65,Daman and Diu
Daman,2018-01-12,68.7,Daman and Diu
Daman,2018-01-15,69.13,Daman and Diu
Daman,2018-01-16,69.21,Daman and Diu
Daman,2018-01-17,69.33,Daman and Diu
Daman,2018-01-18,69.49,Daman and Diu
Daman,2018-01-19,69.63,Daman and Diu
Daman,2018-01-22,70.14,Daman and Diu
Daman,2018-01-23,70.28,Daman and Diu
Daman,2018-01-25,70.39,Daman and Diu
Daman,2018-01-29,70.72,Daman and Diu
Daman,2018-01-30,70.8,Daman and Diu
Daman,2018-02-01,70.93,Daman and Diu
Daman,2018-02-02,70.97,Daman and Diu
Daman,2018-02-05,71.18,Daman and Diu
Daman,2018-02-06,71.24,Daman and Diu
Daman,2018-02-08,71.23,Daman and Diu
Daman,2018-02-09,71.21,Daman and Diu
Daman,2018-02-12,70.89,Daman and Diu
Daman,2018-02-13,70.82,Daman and Diu
Daman,2018-02-15,70.68,Daman and Diu
Daman,2018-02-16,70.42,Daman and Diu
Daman,2018-02-20,69.66,Daman and Diu
Daman,2018-02-21,69.65,Daman and Diu
Daman,2018-02-22,69.63,Daman and Diu
Daman,2018-02-23,69.54,Daman and Diu
Daman,2018-02-26,69.46,Daman and Diu
Daman,2018-02-27,69.44,Daman and Diu
Daman,2018-03-01,69.57,Daman and Diu
Daman,2018-03-02,69.74,Daman and Diu
Daman,2018-03-05,70.29,Daman and Diu
Daman,2018-03-06,70.36,Daman and Diu
Daman,2018-03-09,70.4,Daman and Diu
Daman,2018-03-12,70.42,Daman and Diu
Daman,2018-03-13,70.44,Daman and Diu
Daman,2018-03-15,70.42,Daman and Diu
Daman,2018-03-16,70.34,Daman and Diu
Daman,2018-03-19,70.17,Daman and Diu
Daman,2018-03-20,70.18,Daman and Diu
Daman,2018-03-22,70.23,Daman and Diu
Daman,2018-03-23,70.27,Daman and Diu
Daman,2018-03-26,70.74,Daman and Diu
Daman,2018-03-27,70.85,Daman and Diu
Daman,2018-03-29,71.02,Daman and Diu
Daman,2018-03-30,71.24,Daman and Diu
Daman,2018-04-02,71.72,Daman and Diu
Daman,2018-04-03,71.85,Daman and Diu
Daman,2018-04-05,71.88,Daman and Diu
Daman,2018-04-09,71.89,Daman and Diu
Daman,2018-04-10,71.88,Daman and Diu
Daman,2018-04-12,71.84,Daman and Diu
Daman,2018-04-13,71.81,Daman and Diu
Daman,2018-04-16,71.91,Daman and Diu
Daman,2018-04-19,71.96,Daman and Diu
Daman,2018-04-20,71.97,Daman and Diu
Daman,2018-04-23,72.38,Daman and Diu
Daman,2018-04-24,72.5,Daman and Diu
Daman,2018-05-14,72.7,Daman and Diu
Daman,2018-05-15,72.85,Daman and Diu
Daman,2018-05-16,72.99,Daman and Diu
Daman,2018-05-17,73.2,Daman and Diu
Daman,2018-05-18,72.7,Daman and Diu
