city,date,rate,district
Connaught Place,2016-04-16,61.18,Delhi
Connaught Place,2016-05-01,62.24,Delhi
Connaught Place,2016-05-17,63.07,Delhi
Connaught Place,2016-06-01,65.65,Delhi
Connaught Place,2016-06-16,65.7,Delhi
Connaught Place,2016-07-01,64.81,Delhi
Connaught Place,2016-07-15,62.56,Delhi
Connaught Place,2016-08-01,61.14,Delhi
Connaught Place,2016-08-15,60.14,Delhi
Connaught Place,2016-09-01,63.52,Delhi
Connaught Place,2016-09-15,64.29,Delhi
Connaught Place,2016-10-01,64.66,Delhi
Connaught Place,2016-10-04,64.8,Delhi
Connaught Place,2016-10-15,66.53,Delhi
Connaught Place,2016-11-06,67.7,Delhi
Connaught Place,2016-11-16,66.01,Delhi
Connaught Place,2016-12-01,66.29,Delhi
Connaught Place,2017-01-01,70.79,Delhi
Connaught Place,2017-01-16,71.33,Delhi
Connaught Place,2017-04-01,66.48,Delhi
Connaught Place,2017-05-01,68.28,Delhi
Connaught Place,2017-05-16,65.53,Delhi
Connaught Place,2017-06-01,67.12,Delhi
Connaught Place,2017-06-16,65.52,Delhi
Connaught Place,2017-06-19,64.69,Delhi
Connaught Place,2017-06-21,64.59,Delhi
Connaught Place,2017-06-26,63.59,Delhi
Connaught Place,2017-06-30,63.35,Delhi
Connaught Place,2017-07-03,63.17,Delhi
Connaught Place,2017-07-10,63.87,Delhi
Connaught Place,2017-07-17,64.19,Delhi
Connaught Place,2017-07-24,64.57,Delhi
Connaught Place,2017-08-01,65.44,Delhi
Connaught Place,2017-08-07,66.7,Delhi
Connaught Place,2017-08-14,67.99,Delhi
Connaught Place,2017-08-21,68.58,Delhi
Connaught Place,2017-08-28,69.13,Delhi
Connaught Place,2017-09-04,69.64,Delhi
Connaught Place,2017-09-11,70.28,Delhi
Connaught Place,2017-09-19,70.49,Delhi
Connaught Place,2017-09-25,70.38,Delhi
Connaught Place,2017-10-03,70.81,Delhi
Connaught Place,2017-10-04,68.35,Delhi
Connaught Place,2017-10-09,68.42,Delhi
Connaught Place,2017-10-16,68.26,Delhi
Connaught Place,2017-10-30,69.04,Delhi
Connaught Place,2017-11-06,69.77,Delhi
Connaught Place,2017-11-13,69.86,Delhi
Connaught Place,2017-11-20,69.59,Delhi
Connaught Place,2017-11-27,69.36,Delhi
Connaught Place,2017-12-05,69.33,Delhi
Connaught Place,2017-12-11,69.2,Delhi
Connaught Place,2017-12-18,69.27,Delhi
Connaught Place,2017-12-26,69.71,Delhi
Connaught Place,2018-01-01,70.05,Delhi
Connaught Place,2018-01-05,70.07,Delhi
